,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org
count,278.0,278.0,278.0,91.0,91.0,6.0,6.0
mean,0.0911804722056518,1.0,5.136690647482014,0.335164835164835,1.0,1.0,1.0
std,0.02576174863890975,0.0,2.335416965372671,0.10391860981433572,0.0,0.0,0.0
min,0.0625,1.0,2.0,0.16666666666666666,1.0,1.0,1.0
25%,0.07142857142857142,1.0,3.0,0.3333333333333333,1.0,1.0,1.0
50%,0.08333333333333333,1.0,5.0,0.3333333333333333,1.0,1.0,1.0
75%,0.1,1.0,6.0,0.3333333333333333,1.0,1.0,1.0
max,0.16666666666666666,1.0,11.0,0.6666666666666666,1.0,1.0,1.0
