,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
27,,results_full_domain_frac_norml.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
28,,results_top_three_domain_frac_norml.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
29,,results_top_domain_frac_norml.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
30,,results_full_domain_frac_www.whitepages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
31,,results_top_three_domain_frac_www.whitepages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
32,,results_top_domain_frac_www.whitepages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
33,,results_full_domain_frac_www.toyotadm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
34,,results_top_three_domain_frac_www.toyotadm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
35,,results_top_domain_frac_www.toyotadm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
36,,results_full_domain_frac_ultimatemotorcycling.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
37,,results_top_three_domain_frac_ultimatemotorcycling.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
38,,results_top_domain_frac_ultimatemotorcycling.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
39,,results_full_domain_frac_www.chapmanchevy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
40,,results_top_three_domain_frac_www.chapmanchevy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
41,,results_top_domain_frac_www.chapmanchevy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
42,,results_full_domain_frac_www.aol.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
43,,results_top_three_domain_frac_www.aol.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
44,,results_top_domain_frac_www.aol.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
45,,results_full_domain_frac_www.vanchevroletkc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
46,,results_top_three_domain_frac_www.vanchevroletkc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
47,,results_top_domain_frac_www.vanchevroletkc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
48,,results_full_domain_frac_www.hondamorristown.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
49,,results_top_three_domain_frac_www.hondamorristown.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
