,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_MapsLocations_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan
count,392.0,392.0,175.0,392.0,392.0,392.0,392.0,392.0,392.0,39.0,392.0,392.0,392.0,392.0,96.0,392.0
mean,0.038212680176965975,0.44642857142857145,5.182857142857143,0.038212680176965975,0.033163265306122465,0.09948979591836735,0.033163265306122465,0.011810893188444202,0.09948979591836735,7.666666666666667,0.011810893188444202,0.0007849293563579278,0.01952044554085368,0.24489795918367346,7.416666666666667,0.01952044554085368
std,0.042762428003126435,0.4977571178171105,2.722984936101036,0.042762428003126435,0.09990034528527446,0.2997010358558235,0.09990034528527446,0.039311183762499514,0.29970103585582214,1.3245323570650442,0.039311183762499514,0.007740537053907727,0.034402902895214686,0.4305762388816071,1.505545305418162,0.034402902895214686
min,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
25%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,0.0
50%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,7.0,0.0
75%,0.08333333333333333,1.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0
max,0.1,1.0,11.0,0.1,0.3333333333333333,1.0,0.3333333333333333,0.18181818181818182,1.0,9.0,0.18181818181818182,0.07692307692307693,0.08333333333333333,1.0,10.0,0.08333333333333333
