,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,query,winner
25,0.009,results_full_domain_frac_www.yelp.com,10,10,0.004545454545454545,0.0,0.009,inf,,20,rural,urban,0.34343639613791355,Target Corporation,urban
26,0.095,*results_full_domain_frac_www.yelp.com,10,10,0.06727272727272728,0.02,0.115,5.73,,20,rural,urban,0.009722638574327307,Pizza Hut,urban
27,0.01,results_full_domain_frac_www.yelp.com,10,10,0.005,0.0,0.01,inf,,20,rural,urban,0.34343639613791355,Walmart,urban
28,0.014,results_full_domain_frac_www.yelp.com,10,10,0.007142857142857143,0.0,0.014,inf,,20,rural,urban,0.34343639613791355,Chase Bank,urban
29,0.01,results_full_domain_frac_www.yelp.com,10,10,0.005,0.0,0.01,inf,,20,rural,urban,0.34343639613791355,Honda,urban
30,0.048,*results_full_domain_frac_www.facebook.com,10,10,0.08881493506493505,0.113,0.065,1.74,,20,rural,urban,0.04889004567655867,Chevrolet,rural
31,,results_full_domain_frac_www.facebook.com,10,10,0.08333333333333331,0.0833,0.0833,,1.0,20,rural,urban,,Donald Trump,
32,0.032,results_full_domain_frac_www.facebook.com,10,10,0.01611111111111111,0.032,0.0,inf,,20,rural,urban,0.0815613287835308,McDonald's,rural
33,0.071,*results_full_domain_frac_www.facebook.com,10,10,0.09005952380952381,0.125,0.055,2.29,,20,rural,urban,0.0038769354943250485,Domino's Pizza,rural
34,0.006,results_full_domain_frac_www.facebook.com,10,10,0.13015873015873014,0.127,0.133,1.05,,20,rural,urban,0.38809613338587123,Amazon,urban
35,0.002,results_full_domain_frac_www.facebook.com,10,10,0.09111111111111111,0.092,0.09,1.02,,20,rural,urban,0.8790101226697058,Wells Fargo,rural
36,0.052,*results_full_domain_frac_www.facebook.com,10,10,0.05520202020202021,0.081,0.029,2.8,,20,rural,urban,0.01861744949488297,Pizza Hut,rural
37,,results_full_domain_frac_www.facebook.com,10,10,0.07692307692307691,0.0769,0.0769,,1.0,20,rural,urban,,Barack Obama,
38,0.003,results_full_domain_frac_www.facebook.com,10,10,0.10277777777777779,0.104,0.101,1.03,,20,rural,urban,0.13814824935619432,Walmart,rural
39,0.02,results_full_domain_frac_www.facebook.com,10,10,0.01,0.02,0.0,inf,,20,rural,urban,0.16785065605707486,Toyota,rural
40,0.104,**results_full_domain_frac_www.facebook.com,10,10,0.07698412698412697,0.129,0.025,5.16,,20,rural,urban,0.0001276896742688846,Honda,rural
41,0.014,results_full_domain_frac_www.facebook.com,10,10,0.09833333333333334,0.106,0.091,1.16,,20,rural,urban,0.19431061091309118,Bank of America,rural
42,,results_full_domain_frac_www.facebook.com,10,10,0.07692307692307691,0.0769,0.0769,,1.0,20,rural,urban,,Hillary Clinton,
43,0.005,results_full_domain_frac_www.facebook.com,10,10,0.13482142857142856,0.138,0.132,1.04,,20,rural,urban,0.19646751603492316,United States Department of Veterans Affairs,rural
44,0.023,*results_full_domain_frac_en.wikipedia.org,10,10,0.1137012987012987,0.125,0.102,1.23,,20,rural,urban,0.0041253113149802454,Chevrolet,rural
45,,results_full_domain_frac_en.wikipedia.org,10,10,0.08333333333333331,0.0833,0.0833,,1.0,20,rural,urban,,Donald Trump,
46,0.006,results_full_domain_frac_en.wikipedia.org,10,10,0.08055555555555556,0.083,0.078,1.07,,20,rural,urban,0.7761381865886293,McDonald's,rural
47,,results_full_domain_frac_en.wikipedia.org,10,10,0.07692307692307691,0.0769,0.0769,,1.0,20,rural,urban,,US Senate,
48,0.077,*results_full_domain_frac_en.wikipedia.org,10,10,0.03839285714285714,0.077,0.0,inf,,20,rural,urban,0.0052202713977193395,Domino's Pizza,rural
49,0.006,results_full_domain_frac_en.wikipedia.org,10,10,0.09715909090909089,0.1,0.094,1.06,,20,rural,urban,0.12993086822758546,Target Corporation,rural
50,0.012,results_full_domain_frac_en.wikipedia.org,10,10,0.08611111111111112,0.092,0.08,1.15,,20,rural,urban,0.4788788920857677,Wells Fargo,rural
51,0.071,**results_full_domain_frac_en.wikipedia.org,10,10,0.04565656565656566,0.081,0.01,8.13,,20,rural,urban,0.0006275113373517231,Pizza Hut,rural
52,,results_full_domain_frac_en.wikipedia.org,10,10,0.15384615384615383,0.1538,0.1538,,1.0,20,rural,urban,,Barack Obama,
53,0.017,results_full_domain_frac_en.wikipedia.org,10,10,0.09134615384615383,0.1,0.083,1.21,,20,rural,urban,0.3264097526025215,US Supreme Court,rural
54,0.01,results_full_domain_frac_en.wikipedia.org,10,10,0.005,0.0,0.01,inf,,20,rural,urban,0.34343639613791355,Walmart,urban
55,0.058,*results_full_domain_frac_en.wikipedia.org,10,10,0.07435897435897436,0.103,0.045,2.28,,20,rural,urban,0.0043667072647450515,Toyota,rural
56,0.004,results_full_domain_frac_en.wikipedia.org,10,10,0.13035714285714287,0.132,0.129,1.03,,20,rural,urban,0.35584114604164074,Chase Bank,rural
57,0.071,*results_full_domain_frac_en.wikipedia.org,10,10,0.09323412698412699,0.129,0.057,2.24,,20,rural,urban,0.004958312194196922,Honda,rural
58,0.004,results_full_domain_frac_en.wikipedia.org,10,10,0.08333333333333334,0.086,0.081,1.05,,20,rural,urban,0.824447699644199,Bank of America,rural
59,,results_full_domain_frac_en.wikipedia.org,10,10,0.15384615384615383,0.1538,0.1538,,1.0,20,rural,urban,,Hillary Clinton,
60,0.005,results_full_domain_frac_en.wikipedia.org,10,10,0.13482142857142856,0.138,0.132,1.04,,20,rural,urban,0.19646751603492316,United States Department of Veterans Affairs,rural
61,0.037,*results_full_domain_frac_foursquare.com,10,10,0.01863636363636364,0.0,0.037,inf,,20,rural,urban,0.03700749999821116,Pizza Hut,urban
