,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_organization-corporate,results_full_coded_ugc_frac_facebook.com_nan,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_top_three_coded_ugc_frac_facebook.com_organization-corporate,results_full_coded_ugc_frac_facebook.com_individual-political,results_full_coded_ugc_frac_facebook.com_organization-political,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_coded_ugc_frac_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_twitter.com_organization-corporate,results_top_three_coded_ugc_frac_twitter.com_organization-corporate,results_full_coded_ugc_frac_twitter.com_individual-political,results_top_three_coded_ugc_frac_twitter.com_individual-political,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_instagram.com_nan,results_full_coded_ugc_frac_instagram.com_individual-political,results_full_coded_ugc_frac_linkedin.com_nan,results_full_coded_ugc_frac_linkedin.com_organization-corporate,results_full_coded_ugc_frac_linkedin.com_organization-political,results_full_coded_ugc_frac_yelp.com_nan,results_top_three_coded_ugc_frac_yelp.com_nan,results_full_coded_ugc_frac_tripadvisor.com_nan
count,553.0,553.0,553.0,553.0,202.0,202.0,202.0,421.0,421.0,421.0,298.0,5.0,17.0,17.0,17.0,80.0,40.0,522.0,522.0,163.0,373.0,420.0,420.0,300.0,115.0,72.0,48.0,48.0,1.0,2.0,40.0,2.0,27.0,19.0,39.0,2.0,17.0
mean,0.08342448159223036,1.0,4.93128390596745,0.09621777659752441,0.22319660537482325,1.0,0.2838283828382844,0.0846223649667828,1.0,6.028503562945368,0.09634019969590477,0.08100233100233101,0.20000000000000004,1.0,0.33333333333333326,0.07433608058608054,0.13437500000000002,0.18043173442514107,1.0,3.5337423312883436,0.2513414199741274,0.42657596371881645,1.0,0.5999999999999966,0.09637476050519513,0.3333333333333331,0.077190170940171,0.33333333333333354,0.125,0.07692307692307693,0.07724358974358979,0.10101010101010101,0.10699588477366258,0.13251879699248117,0.09359187820726286,0.2,0.08016591251885367
std,0.02221949251744207,0.0,2.3271354492860605,0.024350703491788868,0.08041381496136508,0.0,0.06457992188259719,0.021034709035477193,0.0,1.7465325902134616,0.011896110139387092,0.006194723667094783,2.8609792490763984e-17,0.0,5.721958498152797e-17,0.003090128004898365,0.009031005809657409,0.07471493958991211,0.0,1.6415974175616708,0.03938982504282053,0.12921870456727558,0.0,3.336234105448588e-15,0.016435258871277034,2.236028317961274e-16,0.0012944931828426827,2.243943487200856e-16,,0.0,0.0014148809478407172,0.014284985478516105,0.005467809751371232,0.009058165598246211,0.033189036354699754,0.0,0.005912009012400968
min,0.058823529411764705,1.0,2.0,0.06666666666666667,0.14285714285714285,1.0,0.2,0.0625,1.0,3.0,0.07692307692307693,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07142857142857142,0.125,0.06666666666666667,1.0,2.0,0.2,0.2,1.0,0.6,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.125,0.07692307692307693,0.07692307692307693,0.09090909090909091,0.1,0.125,0.07142857142857142,0.2,0.07692307692307693
25%,0.06666666666666667,1.0,3.0,0.07692307692307693,0.14285714285714285,1.0,0.2,0.07142857142857142,1.0,5.0,0.09090909090909091,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07142857142857142,0.125,0.09090909090909091,1.0,3.0,0.21428571428571427,0.3333333333333333,1.0,0.6,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.125,0.07692307692307693,0.07692307692307693,0.09595959595959595,0.1,0.125,0.07692307692307693,0.2,0.07692307692307693
50%,0.08333333333333333,1.0,5.0,0.09090909090909091,0.2,1.0,0.3333333333333333,0.08333333333333333,1.0,5.0,0.1,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07417582417582418,0.14285714285714285,0.1875,1.0,3.0,0.25,0.42857142857142855,1.0,0.6,0.1,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.125,0.07692307692307693,0.07692307692307693,0.10101010101010101,0.1111111111111111,0.125,0.07692307692307693,0.2,0.07692307692307693
75%,0.1,1.0,6.0,0.1111111111111111,0.3333333333333333,1.0,0.3333333333333333,0.09090909090909091,1.0,7.0,0.1,0.08333333333333333,0.2,1.0,0.3333333333333333,0.07692307692307693,0.14285714285714285,0.23076923076923078,1.0,4.0,0.2727272727272727,0.6,1.0,0.6,0.10555555555555556,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.125,0.07692307692307693,0.07692307692307693,0.10606060606060605,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.2,0.08333333333333333
max,0.14285714285714285,1.0,11.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,11.0,0.14285714285714285,0.09090909090909091,0.2,1.0,0.3333333333333333,0.08333333333333333,0.14285714285714285,0.4444444444444444,1.0,11.0,0.3333333333333333,0.6,1.0,0.6,0.14285714285714285,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.125,0.07692307692307693,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.23076923076923078,0.2,0.1
