,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_top_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_organization-corporate,results_full_coded_ugc_frac_facebook.com_nan,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_top_three_coded_ugc_frac_facebook.com_organization-corporate,results_full_coded_ugc_frac_facebook.com_individual-political,results_full_coded_ugc_frac_facebook.com_organization-political,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_coded_ugc_frac_twitter.com_nan,results_full_coded_ugc_frac_twitter.com_individual-political,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_coded_ugc_frac_twitter.com_individual-political,results_full_coded_ugc_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_twitter.com_organization-corporate,results_top_three_coded_ugc_frac_twitter.com_organization-corporate,results_full_coded_ugc_frac_youtube.com_organization-journalistic,results_full_coded_ugc_frac_youtube.com_organization-none,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_instagram.com_nan,results_full_coded_ugc_frac_instagram.com_individual-political,results_full_coded_ugc_frac_linkedin.com_nan,results_full_coded_ugc_frac_linkedin.com_organization-corporate,results_full_coded_ugc_frac_linkedin.com_organization-political,results_full_coded_ugc_frac_yelp.com_nan,results_top_three_coded_ugc_frac_yelp.com_nan,results_full_coded_ugc_frac_tripadvisor.com_nan
count,1235.0,1235.0,1235.0,1235.0,604.0,604.0,604.0,160.0,160.0,160.0,421.0,421.0,421.0,298.0,5.0,17.0,17.0,17.0,80.0,40.0,685.0,685.0,206.0,3.0,88.0,494.0,494.0,88.0,493.0,334.0,115.0,72.0,40.0,18.0,22.0,2.0,40.0,3.0,27.0,19.0,39.0,2.0,17.0
mean,0.08573680374823454,1.0,4.208097165991902,0.09593927440081267,0.2739829706717121,1.0,0.33885209713024406,1.0,1.0,1.0,0.0846223649667828,1.0,6.028503562945368,0.09634019969590477,0.08100233100233101,0.20000000000000004,1.0,0.33333333333333326,0.07433608058608054,0.13437500000000002,0.17657588761603277,1.0,3.5194174757281553,0.10000000000000002,0.07721445221445214,0.4083670715249616,1.0,0.3333333333333329,0.24582772703969372,0.5999999999999964,0.09637476050519513,0.3333333333333331,0.07692307692307696,0.07727920227920225,0.0999125874125874,0.07692307692307693,0.07724358974358979,0.09511784511784512,0.10699588477366258,0.13251879699248117,0.09359187820726286,0.2,0.08016591251885367
std,0.029106824100136944,0.0,2.2205243858349433,0.028284214263909313,0.12655670167979044,0.0,0.09773031137752557,0.0,0.0,0.0,0.021034709035477193,0.0,1.7465325902134616,0.011896110139387092,0.006194723667094783,2.8609792490763984e-17,0.0,5.721958498152797e-17,0.003090128004898365,0.009031005809657409,0.07150005141055937,0.0,1.6548853472880602,1.6996749443881478e-17,0.001342901249626525,0.13425514615750722,0.0,3.9080488520806336e-16,0.03684658641138986,3.558044084917087e-15,0.016435258871277034,2.236028317961274e-16,2.8109164082014877e-17,0.0015109119256122789,0.03541135640748613,0.0,0.0014148809478407172,0.014359193694639713,0.005467809751371232,0.009058165598246211,0.033189036354699754,0.0,0.005912009012400968
min,0.05555555555555555,1.0,1.0,0.0625,0.14285714285714285,1.0,0.2,1.0,1.0,1.0,0.0625,1.0,3.0,0.07692307692307693,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07142857142857142,0.125,0.06666666666666667,1.0,2.0,0.1,0.07692307692307693,0.2,1.0,0.3333333333333333,0.1875,0.6,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.06666666666666667,0.07692307692307693,0.07692307692307693,0.08333333333333333,0.1,0.125,0.07142857142857142,0.2,0.07692307692307693
25%,0.06666666666666667,1.0,3.0,0.07692307692307693,0.2,1.0,0.3333333333333333,1.0,1.0,1.0,0.07142857142857142,1.0,5.0,0.09090909090909091,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07142857142857142,0.125,0.09090909090909091,1.0,3.0,0.1,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,0.21428571428571427,0.6,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08712121212121213,0.1,0.125,0.07692307692307693,0.2,0.07692307692307693
50%,0.07142857142857142,1.0,4.0,0.08333333333333333,0.2,1.0,0.3333333333333333,1.0,1.0,1.0,0.08333333333333333,1.0,5.0,0.1,0.07692307692307693,0.2,1.0,0.3333333333333333,0.07417582417582418,0.14285714285714285,0.1875,1.0,3.0,0.1,0.07692307692307693,0.42857142857142855,1.0,0.3333333333333333,0.25,0.6,0.1,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.09090909090909091,0.1111111111111111,0.125,0.07692307692307693,0.2,0.07692307692307693
75%,0.1,1.0,6.0,0.1,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,1.0,7.0,0.1,0.08333333333333333,0.2,1.0,0.3333333333333333,0.07692307692307693,0.14285714285714285,0.21428571428571427,1.0,3.0,0.1,0.07692307692307693,0.42857142857142855,1.0,0.3333333333333333,0.2727272727272727,0.6,0.10555555555555556,0.3333333333333333,0.07692307692307693,0.07692307692307693,0.1466346153846154,0.07692307692307693,0.07692307692307693,0.10101010101010101,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.2,0.08333333333333333
max,0.18181818181818182,1.0,11.0,0.18181818181818182,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.14285714285714285,1.0,11.0,0.14285714285714285,0.09090909090909091,0.2,1.0,0.3333333333333333,0.08333333333333333,0.14285714285714285,0.4444444444444444,1.0,11.0,0.1,0.08333333333333333,0.6,1.0,0.3333333333333333,0.3333333333333333,0.6,0.14285714285714285,0.3333333333333333,0.07692307692307693,0.08333333333333333,0.15384615384615385,0.07692307692307693,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.23076923076923078,0.2,0.1
