,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_top_coded_ugc_frac_wikipedia.org_nan,results_full_coded_ugc_frac_SearchTweetCarousel_nan,results_top_three_coded_ugc_frac_SearchTweetCarousel_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_organization-none,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_youtube.com_organization-journalistic,results_full_coded_ugc_frac_yelp.com_nan,results_full_coded_ugc_frac_MapsPlaces_nan,results_top_three_coded_ugc_frac_MapsPlaces_nan,results_top_coded_ugc_frac_MapsPlaces_nan,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_coded_ugc_frac_MapsLocations_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_coded_ugc_frac_NewsCarousel_nan
count,20.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,0.07900183150183147,0.9,3.7222222222222223,0.07900183150183147,0.13333333333333333,0.4,0.13333333333333333,0.1,0.1,0.1,0.0038461538461538464,0.016666666666666666,0.015384615384615385,0.15,8.833333333333334,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.004545454545454545,0.008391608391608392,0.03333333333333333,0.05,0.0038461538461538464,0.016666666666666666,0.04647435897435896,0.6,1.4166666666666667,0.04647435897435896,0.2,0.6,0.2,0.4,0.4,0.4
std,0.034882159573119145,0.30779350562554625,1.5924659219017216,0.034882159573119145,0.1675415633166782,0.5026246899500346,0.1675415633166782,0.30779350562554625,0.30779350562554625,0.30779350562554625,0.01720052290384454,0.07453559924999299,0.04024218182927669,0.36634754853252327,0.2886751345948129,0.017200522903844537,0.017200522903844537,0.023676423509657405,0.020327890704543543,0.025928282409337363,0.10259783520851541,0.2236067977499789,0.017200522903844537,0.07453559924999299,0.03895738630008202,0.5026246899500346,0.6685579234215215,0.03895738630008202,0.16754156331667822,0.5026246899500346,0.16754156331667822,0.5026246899500346,0.5026246899500346,0.5026246899500346
min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.07692307692307693,1.0,3.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.07692307692307693,1.0,4.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,1.0,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0
75%,0.07852564102564102,1.0,4.75,0.07852564102564102,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,2.0,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
max,0.15384615384615385,1.0,7.0,0.15384615384615385,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.07692307692307693,0.3333333333333333,0.15384615384615385,1.0,9.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.3333333333333333,1.0,0.07692307692307693,0.3333333333333333,0.08333333333333333,1.0,3.0,0.08333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
