,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_top_coded_ugc_frac_wikipedia.org_nan,results_full_coded_ugc_frac_twitter.com_nan,results_full_coded_ugc_frac_twitter.com,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_tfoj,results_full_coded_ugc_frac_youtube.com_tfo$,results_full_coded_ugc_frac_youtube.com_tfon
count,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
mean,0.06993775587157929,0.9,3.5375,0.0777564102564101,0.12099999999999991,0.405,0.13499999999999987,0.1,0.1,0.1,0.0020109890109890113,0.020000000000000004,0.016692307692307694,0.16,1.3575,0.011153846153846151,0.003846153846153846,0.003076923076923077
std,0.030406820509318845,0.3007528242702527,2.010610984915608,0.03345012855082742,0.151681805712665,0.49212389664416945,0.16404129888138985,0.30075282427025185,0.30075282427025185,0.30075282427025185,0.012689707130755162,0.060150564854050036,0.04255616128650221,0.3675260220507144,3.1292819909516734,0.02715264651411363,0.01680706625613426,0.015111609398216456
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.06666666666666667,1.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.06666666666666667,1.0,3.5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.07692307692307693,1.0,5.0,0.08333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,0.125,1.0,8.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.1,0.2,0.2,1.0,10.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
