,column,mean_a,mean_b,mult_increase,n,name_a,name_b,pval,winner
0,results_full_domain_frac_itunes.apple.com,0.013,0.0135,1.04,1680,urban,rural,0.7726645259809073,rural
1,results_top_three_domain_frac_itunes.apple.com,0.0,0.0,1.0,1680,urban,rural,,
2,results_top_domain_frac_itunes.apple.com,0.0,0.0,1.0,1680,urban,rural,,
3,results_full_domain_frac_www.facebook.com,0.0682,0.0742,1.09,1680,urban,rural,0.06152900647704402,rural
4,*results_top_three_domain_frac_www.facebook.com,0.0113,0.0187,1.65,1680,urban,rural,0.02795057153524322,rural
5,results_top_domain_frac_www.facebook.com,0.0,0.0,1.0,1680,urban,rural,,
6,results_full_domain_frac_twitter.com,0.0138,0.0141,1.03,1680,urban,rural,0.8529739223007295,rural
7,results_top_three_domain_frac_twitter.com,0.0186,0.025,1.34,1680,urban,rural,0.11294243577208032,rural
8,results_top_domain_frac_twitter.com,0.0,0.0,1.0,1680,urban,rural,,
9,results_full_domain_frac_allrecipes.com,0.0046,0.0048,1.04,1680,urban,rural,0.8851465632680262,rural
10,results_top_three_domain_frac_allrecipes.com,0.0,0.0,1.0,1680,urban,rural,,
11,results_top_domain_frac_allrecipes.com,0.0,0.0,1.0,1680,urban,rural,,
12,results_full_domain_frac_play.google.com,0.0213,0.0203,1.05,1680,urban,rural,0.6684851365246625,urban
13,results_top_three_domain_frac_play.google.com,0.0008,0.0008,1.04,1680,urban,rural,0.9715019808019063,urban
14,results_top_domain_frac_play.google.com,0.0,0.0,1.0,1680,urban,rural,,
15,results_full_domain_frac_finance.yahoo.com,0.0064,0.007,1.09,1680,urban,rural,0.7018648904102739,rural
16,results_top_three_domain_frac_finance.yahoo.com,0.0,0.0,1.0,1680,urban,rural,,
17,results_top_domain_frac_finance.yahoo.com,0.0,0.0,1.0,1680,urban,rural,,
18,**results_full_domain_frac_www.yelp.com,0.0119,0.0049,2.42,1680,urban,rural,0.0001397444576513675,urban
19,results_top_three_domain_frac_www.yelp.com,0.004,0.0019,2.07,1680,urban,rural,0.1746720777906216,urban
20,results_top_domain_frac_www.yelp.com,0.0,0.0,1.0,1680,urban,rural,,
21,results_full_domain_frac_www.hollisterco.com,0.0116,0.0111,1.05,1680,urban,rural,0.9074258151749665,urban
22,results_top_three_domain_frac_www.hollisterco.com,0.0077,0.0086,1.12,1680,urban,rural,0.7765826836114904,rural
23,results_top_domain_frac_www.hollisterco.com,0.017,0.0175,1.03,1680,urban,rural,0.9280582136676846,rural
24,results_full_domain_frac_NewsCarousel,0.0892,0.0911,1.02,1680,urban,rural,0.4745907369655742,rural
25,results_top_three_domain_frac_NewsCarousel,0.198,0.2121,1.07,1680,urban,rural,0.07486569160715326,rural
26,results_top_domain_frac_NewsCarousel,0.0364,0.0409,1.13,1680,urban,rural,0.6270247995871479,rural
27,results_full_domain_frac_www.nytimes.com,0.0109,0.0116,1.07,1680,urban,rural,0.6021872012047378,rural
28,results_top_three_domain_frac_www.nytimes.com,0.0,0.0,1.0,1680,urban,rural,,
29,results_top_domain_frac_www.nytimes.com,0.0,0.0,1.0,1680,urban,rural,,
30,*results_full_domain_frac_www.caranddriver.com,0.0094,0.0146,1.55,1680,urban,rural,0.006237145913098761,rural
31,results_top_three_domain_frac_www.caranddriver.com,0.0,0.0,1.0,1680,urban,rural,,
32,results_top_domain_frac_www.caranddriver.com,0.0,0.0,1.0,1680,urban,rural,,
33,results_full_domain_frac_MapsLocations,0.0,0.0,1.0,1680,urban,rural,,
34,results_top_three_domain_frac_MapsLocations,0.0,0.0,1.0,1680,urban,rural,,
35,results_top_domain_frac_MapsLocations,0.0,0.0,1.0,1680,urban,rural,,
36,results_full_domain_frac_TweetCarousel,0.0586,0.061,1.04,1680,urban,rural,0.4250072113966593,rural
37,*results_top_three_domain_frac_TweetCarousel,0.0949,0.1166,1.23,1680,urban,rural,0.0042596745913542535,rural
38,results_top_domain_frac_TweetCarousel,0.0,0.0,1.0,1680,urban,rural,,
39,*results_full_domain_frac_en.wikipedia.org,0.0861,0.0954,1.11,1680,urban,rural,0.0019722201210056593,rural
40,results_top_three_domain_frac_en.wikipedia.org,0.0764,0.0877,1.15,1680,urban,rural,0.18779450121755878,rural
41,results_top_domain_frac_en.wikipedia.org,0.057,0.0596,1.05,1680,urban,rural,0.8148504363174947,rural
42,results_full_domain_frac_www.youtube.com,0.0139,0.0136,1.02,1680,urban,rural,0.9062138076922588,urban
43,results_top_three_domain_frac_www.youtube.com,0.0,0.0,1.0,1680,urban,rural,,
44,results_top_domain_frac_www.youtube.com,0.0,0.0,1.0,1680,urban,rural,,
45,results_full_domain_frac_www.retailmenot.com,0.0068,0.0085,1.25,1680,urban,rural,0.24661660764489343,rural
46,results_top_three_domain_frac_www.retailmenot.com,0.0,0.0,1.0,1680,urban,rural,,
47,results_top_domain_frac_www.retailmenot.com,0.0,0.0,1.0,1680,urban,rural,,
48,results_full_domain_frac_www.yellowpages.com,0.0109,0.0106,1.02,1680,urban,rural,0.9090607588440464,urban
49,results_top_three_domain_frac_www.yellowpages.com,0.0065,0.0039,1.66,1680,urban,rural,0.203498181914852,urban
50,results_top_domain_frac_www.yellowpages.com,0.0,0.0,1.0,1680,urban,rural,,
51,results_full_domain_frac_www.bloomberg.com,0.0091,0.009,1.01,1680,urban,rural,0.9694300509452499,urban
52,results_top_three_domain_frac_www.bloomberg.com,0.0,0.0,1.0,1680,urban,rural,,
53,results_top_domain_frac_www.bloomberg.com,0.0,0.0,1.0,1680,urban,rural,,
54,results_full_domain_frac_www.instagram.com,0.0133,0.0159,1.2,1680,urban,rural,0.18624753903978705,rural
55,results_top_three_domain_frac_www.instagram.com,0.0,0.0,1.0,1680,urban,rural,,
56,results_top_domain_frac_www.instagram.com,0.0,0.0,1.0,1680,urban,rural,,
57,results_full_domain_frac_www.theatlantic.com,0.0103,0.0109,1.07,1680,urban,rural,0.6452691681266927,rural
58,results_top_three_domain_frac_www.theatlantic.com,0.0,0.0,1.0,1680,urban,rural,,
59,results_top_domain_frac_www.theatlantic.com,0.0,0.0,1.0,1680,urban,rural,,
60,results_full_domain_frac_MapsPlaces,0.0,0.0,1.0,1680,urban,rural,,
61,results_top_three_domain_frac_MapsPlaces,0.0,0.0,1.0,1680,urban,rural,,
62,results_top_domain_frac_MapsPlaces,0.0,0.0,1.0,1680,urban,rural,,
63,results_full_mean_polarity,0.342,0.3424,1.0,1680,urban,rural,0.9612732560692537,rural
64,results_top_three_mean_polarity,0.3631,0.3629,1.0,1680,urban,rural,0.9830312035636363,urban
65,results_top_mean_polarity,0.3216,0.3246,1.01,1680,urban,rural,0.856010611498687,rural
66,*results_avg_jacc,0.677,0.7023,1.04,1680,urban,rural,0.0052311512392496365,rural
67,*results_avg_edit,3.6896,3.4737,1.06,1680,urban,rural,0.033456010494274505,urban
68,tweets_full_mean_polarity,0.3042,0.3061,1.01,831,urban,rural,0.8582118751613336,rural
69,tweets_top_three_mean_polarity,0.303,0.3036,1.0,831,urban,rural,0.9684460571748318,rural
70,tweets_top_mean_polarity,0.3422,0.3455,1.01,831,urban,rural,0.889930250938323,rural
71,tweets_avg_jacc,1.0,1.0,1.0,831,urban,rural,,
72,tweets_avg_edit,0.0,0.0,1.0,831,urban,rural,,
