,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_three_domain_frac_www.usa.gov,378,90,0.015,0.004,4.05,rural
1,*results_top_three_domain_frac_MapsLocations,378,90,0.105,0.159,1.52,urban
2,*results_top_three_domain_frac_www.allmenus.com,378,90,0.004,0.0,inf,rural
