,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_nan,results_top_three_domain_frac_youtube.com,results_top_three_domain_appears_youtube.com,results_top_three_coded_ugc_frac_youtube.com_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan
count,194.0,194.0,59.0,194.0,194.0,194.0,194.0,194.0,194.0,59.0,194.0,194.0,194.0,194.0,194.0,194.0,36.0,194.0,194.0,194.0,33.0,194.0,194.0,194.0,194.0,194.0,194.0,27.0,194.0,194.0,194.0,194.0,194.0,194.0,133.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0
mean,0.03554413799259161,0.30412371134020616,5.711864406779661,0.03554413799259161,0.018900343642611686,0.05670103092783505,0.018900343642611686,0.04031664212076585,0.30412371134020616,2.2542372881355934,0.04031664212076585,0.10137457044673538,0.30412371134020616,0.10137457044673538,0.02466863033873343,0.18556701030927836,5.361111111111111,0.02466863033873343,0.02282768777614138,0.17010309278350516,5.2727272727272725,0.02282768777614138,0.010309278350515462,0.030927835051546393,0.010309278350515462,0.011210439045490586,0.13917525773195877,4.185185185185185,0.011210439045490586,0.03436426116838487,0.10309278350515463,0.03436426116838487,0.06823738975800832,0.6855670103092784,5.3007518796992485,0.06823738975800832,0.1065292096219931,0.31958762886597936,0.1065292096219931,0.15463917525773196,0.15463917525773196,0.15463917525773196
std,0.05536397847694621,0.4612255639983935,2.04307786286066,0.05536397847694621,0.07728960953430511,0.23186882860291544,0.07728960953430511,0.061337440283608616,0.4612255639983936,0.43916929180156117,0.061337440283608616,0.15374185466613122,0.4612255639983936,0.15374185466613122,0.05195522163407338,0.3897626993538446,1.3126369920948715,0.05195522163407338,0.050686720913017944,0.376695462120391,1.4847711791873701,0.050686720913017944,0.0578567155436661,0.1735701466309987,0.0578567155436661,0.028046379970032023,0.3470248683898904,3.7829276110628007,0.028046379970032023,0.1016222597031925,0.30486677910957416,0.1016222597031925,0.04874101710342986,0.4654909249231766,4.020751027399424,0.04874101710342986,0.1558411111823439,0.46752333354703085,0.1558411111823439,0.3624958441231709,0.3624958441231709,0.3624958441231709
min,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,4.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,7.5,0.08333333333333333,0.0,0.0,0.0,0.125,1.0,2.5,0.125,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,9.0,0.09090909090909091,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0
max,0.14285714285714285,1.0,9.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,3.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,8.0,0.14285714285714285,0.14285714285714285,1.0,8.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.09090909090909091,1.0,11.0,0.09090909090909091,0.3333333333333333,1.0,0.3333333333333333,0.125,1.0,12.0,0.125,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
