,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
3811,,results_top_domain_frac_macys.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3812,0.002,results_full_domain_frac_hanselhonda.com,1064,76,0.00010964912280701755,0.0,0.002,inf,,1140,GOP,DEM,0.3205260061237417,DEM
3813,,results_top_three_domain_frac_hanselhonda.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3814,,results_top_domain_frac_hanselhonda.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3815,0.0,results_full_domain_frac_asachevybuick.com,1064,76,0.00010964912280701755,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218106,GOP
3816,,results_top_three_domain_frac_asachevybuick.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3817,,results_top_domain_frac_asachevybuick.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3818,0.0,*results_full_domain_frac_americanpregnancy.org,1064,76,0.00029239766081871346,0.0,0.0,inf,,1140,GOP,DEM,0.045449299399490196,GOP
3819,,results_top_three_domain_frac_americanpregnancy.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3820,,results_top_domain_frac_americanpregnancy.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3821,0.0,results_full_domain_frac_singleplatform.com,1064,76,7.974481658692185e-05,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218106,GOP
3822,,results_top_three_domain_frac_singleplatform.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3823,,results_top_domain_frac_singleplatform.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3824,,results_full_domain_frac_pinkertonchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3825,,results_top_three_domain_frac_pinkertonchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3826,,results_top_domain_frac_pinkertonchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3827,,results_full_domain_frac_wf.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3828,,results_top_three_domain_frac_wf.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3829,,results_top_domain_frac_wf.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3830,,results_full_domain_frac_womenscarecenter.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3831,,results_top_three_domain_frac_womenscarecenter.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3832,,results_top_domain_frac_womenscarecenter.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3833,,results_full_domain_frac_sun-sentinel.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3834,,results_top_three_domain_frac_sun-sentinel.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3835,,results_top_domain_frac_sun-sentinel.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3836,,results_full_domain_frac_mccurleyintegritychevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3837,,results_top_three_domain_frac_mccurleyintegritychevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3838,,results_top_domain_frac_mccurleyintegritychevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3839,0.0,results_full_domain_frac_senate.gov,1064,76,0.0020242914979757085,0.002,0.002,1.0,,1140,GOP,DEM,0.9999999999999998,GOP
3840,,results_top_three_domain_frac_senate.gov,1064,76,0.008771929824561401,0.0088,0.0088,,1.0,1140,GOP,DEM,,
3841,,results_top_domain_frac_senate.gov,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3842,0.0,results_full_domain_frac_cis.org,1064,76,0.00202991452991453,0.002,0.002,1.0,,1140,GOP,DEM,0.9967425818670294,GOP
3843,0.0,results_top_three_domain_frac_cis.org,1064,76,0.00029239766081871346,0.0,0.0,inf,,1140,GOP,DEM,0.317538084352181,GOP
3844,,results_top_domain_frac_cis.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3845,,results_full_domain_frac_siouxfallstoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3846,,results_top_three_domain_frac_siouxfallstoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3847,,results_top_domain_frac_siouxfallstoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3848,0.0,results_full_domain_frac_aol.com,1064,76,0.002272727272727272,0.002,0.002,1.04,,1140,GOP,DEM,0.9574268117583642,GOP
3849,,results_top_three_domain_frac_aol.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3850,,results_top_domain_frac_aol.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3851,0.0,results_full_domain_frac_hondaoflincoln.com,1064,76,0.00010964912280701755,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218106,GOP
3852,,results_top_three_domain_frac_hondaoflincoln.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3853,,results_top_domain_frac_hondaoflincoln.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3854,,results_full_domain_frac_greatriverchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3855,,results_top_three_domain_frac_greatriverchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3856,,results_top_domain_frac_greatriverchevy.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3857,0.001,results_full_domain_frac_cointelegraph.com,1064,76,0.002923976608187134,0.003,0.002,1.36,,1140,GOP,DEM,0.6359365061817455,GOP
3858,,results_top_three_domain_frac_cointelegraph.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3859,,results_top_domain_frac_cointelegraph.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3860,,results_full_domain_frac_coindesk.com,1064,76,0.0021929824561403503,0.0022,0.0022,,1.0,1140,GOP,DEM,,
3861,,results_top_three_domain_frac_coindesk.com,1064,76,0.008771929824561401,0.0088,0.0088,,1.0,1140,GOP,DEM,,
3862,,results_top_domain_frac_coindesk.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3863,0.001,results_full_domain_frac_paywizard.org,1064,76,0.00047233468286099874,0.0,0.001,2.33,,1140,GOP,DEM,0.5750726022627272,DEM
3864,0.003,results_top_three_domain_frac_paywizard.org,1064,76,0.0020467836257309943,0.002,0.004,2.33,,1140,GOP,DEM,0.5750726022627272,DEM
3865,,results_top_domain_frac_paywizard.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3866,,results_full_domain_frac_escanabachevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3867,,results_top_three_domain_frac_escanabachevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3868,,results_top_domain_frac_escanabachevrolet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3869,0.0,results_full_domain_frac_doorcountypulse.com,1064,76,9.746588693957115e-05,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3870,,results_top_three_domain_frac_doorcountypulse.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3871,,results_top_domain_frac_doorcountypulse.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3872,0.0,results_full_domain_frac_philadelphiaeagles.com,1064,76,0.0023954116059379214,0.002,0.002,1.2,,1140,GOP,DEM,0.7913722960743168,GOP
3873,0.001,results_top_three_domain_frac_philadelphiaeagles.com,1064,76,0.0032163742690058477,0.003,0.004,1.4,,1140,GOP,DEM,0.7811316015501455,DEM
3874,,results_top_domain_frac_philadelphiaeagles.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3875,0.0,results_full_domain_frac_chase.com,1064,76,0.003587092731829574,0.004,0.003,1.1,,1140,GOP,DEM,0.8949017607844955,GOP
3876,,results_top_three_domain_frac_chase.com,1064,76,0.008771929824561403,0.0088,0.0088,,1.0,1140,GOP,DEM,,
3877,0.001,results_top_domain_frac_chase.com,1064,76,0.02543859649122807,0.025,0.026,1.04,,1140,GOP,DEM,0.9608745708506335,DEM
3878,0.002,results_full_domain_frac_youtube.com,1064,76,0.004664049400891506,0.005,0.002,2.02,,1140,GOP,DEM,0.18752095605586186,GOP
3879,,results_top_three_domain_frac_youtube.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3880,,results_top_domain_frac_youtube.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3881,0.0,results_full_domain_frac_atzenhoffergm.com,1064,76,0.0002631578947368421,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218106,GOP
3882,,results_top_three_domain_frac_atzenhoffergm.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3883,,results_top_domain_frac_atzenhoffergm.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3884,0.002,**results_full_domain_frac_alcoholeducationtrust.org,1064,76,0.0019138755980861242,0.002,0.0,inf,,1140,GOP,DEM,8.502015040845476e-07,GOP
3885,0.008,**results_top_three_domain_frac_alcoholeducationtrust.org,1064,76,0.007017543859649123,0.008,0.0,inf,,1140,GOP,DEM,8.502015040845451e-07,GOP
3886,,results_top_domain_frac_alcoholeducationtrust.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3887,0.0,results_full_domain_frac_toyotaofvictoria.com,1064,76,0.00029239766081871346,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3888,0.0,results_top_three_domain_frac_toyotaofvictoria.com,1064,76,0.00029239766081871346,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3889,,results_top_domain_frac_toyotaofvictoria.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3890,,results_full_domain_frac_reproductiverights.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
