,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,**results_top_three_domain_frac_NewsCarousel,380,380,0.253,0.208,1.22,low-income
1,*results_top_three_domain_frac_MapsLocations,380,380,0.072,0.093,1.29,high-income
2,*results_top_three_domain_frac_google.com,380,380,0.006,0.0,inf,low-income
