,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_cointelegraph.com,results_full_domain_appears_cointelegraph.com,results_full_domain_rank_cointelegraph.com,results_full_domain_count_cointelegraph.com,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_count_NewsCarousel,results_full_domain_frac_latimes.com,results_full_domain_appears_latimes.com,results_full_domain_rank_latimes.com,results_full_domain_count_latimes.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_cointelegraph.com,results_top_three_domain_appears_cointelegraph.com,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_domain_frac_cointelegraph.com,results_top_domain_appears_cointelegraph.com,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_full_domain_frac_go.com,results_full_domain_appears_go.com,results_full_domain_rank_go.com,results_full_domain_count_go.com,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_count_nytimes.com,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_domain_count_cnn.com,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_full_domain_count_people also ask,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_count_theatlantic.com,results_full_domain_frac_washingtonpost.com,results_full_domain_appears_washingtonpost.com,results_full_domain_rank_washingtonpost.com,results_full_domain_count_washingtonpost.com,results_top_three_domain_frac_go.com,results_top_three_domain_appears_go.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_domain_frac_go.com,results_top_domain_appears_go.com,results_full_domain_frac_foxnews.com,results_full_domain_appears_foxnews.com,results_full_domain_rank_foxnews.com,results_full_domain_count_foxnews.com,results_top_three_domain_frac_foxnews.com,results_top_three_domain_appears_foxnews.com,results_top_domain_frac_foxnews.com,results_top_domain_appears_foxnews.com,results_top_three_domain_frac_cnn.com,results_top_three_domain_appears_cnn.com,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_three_domain_frac_latimes.com,results_top_three_domain_appears_latimes.com,results_top_domain_frac_cnn.com,results_top_domain_appears_cnn.com,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_full_domain_frac_nbcnews.com,results_full_domain_appears_nbcnews.com,results_full_domain_rank_nbcnews.com,results_full_domain_count_nbcnews.com,results_full_domain_frac_espn.com,results_full_domain_appears_espn.com,results_full_domain_rank_espn.com,results_full_domain_count_espn.com,results_full_domain_frac_deadspin.com,results_full_domain_appears_deadspin.com,results_full_domain_rank_deadspin.com,results_full_domain_count_deadspin.com,results_full_domain_frac_cbssports.com,results_full_domain_appears_cbssports.com,results_full_domain_rank_cbssports.com,results_full_domain_count_cbssports.com,results_full_domain_frac_collegefootballplayoff.com,results_full_domain_appears_collegefootballplayoff.com,results_full_domain_rank_collegefootballplayoff.com,results_full_domain_count_collegefootballplayoff.com,results_top_three_domain_frac_espn.com,results_top_three_domain_appears_espn.com,results_top_three_domain_frac_collegefootballplayoff.com,results_top_three_domain_appears_collegefootballplayoff.com,results_top_three_domain_frac_washingtonpost.com,results_top_three_domain_appears_washingtonpost.com,results_top_domain_frac_washingtonpost.com,results_top_domain_appears_washingtonpost.com,results_full_domain_frac_variety.com,results_full_domain_appears_variety.com,results_full_domain_rank_variety.com,results_full_domain_count_variety.com,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_vanityfair.com,results_full_domain_appears_vanityfair.com,results_full_domain_rank_vanityfair.com,results_full_domain_count_vanityfair.com,results_full_domain_frac_people.com,results_full_domain_appears_people.com,results_full_domain_rank_people.com,results_full_domain_count_people.com,results_top_three_domain_frac_vanityfair.com,results_top_three_domain_appears_vanityfair.com
count,200.0,200,200,200,200.0,200,200,200,200,200,200.0,200,200.0,200.0,200.0,200,200.0,200,200,200.0,200.0,200.0,200.0,20.0,20.0,20.0,20.0,160.0,160.0,160.0,160.0,40.0,40.0,40.0,40.0,200.0,200.0,20.0,20.0,160.0,160.0,200.0,200.0,20.0,20.0,120.0,120.0,200.0,200.0,45.0,45.0,45.0,45.0,171.0,171.0,171.0,171.0,80.0,80.0,80.0,80.0,107.0,107.0,107.0,107.0,65.0,65.0,65.0,65.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,20.0,20.0,80.0,80.0,58.0,58.0,20.0,20.0,42.0,42.0,42.0,42.0,22.0,22.0,22.0,22.0,20.0,20.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,55.0,55.0,55.0,55.0,40.0,40.0,40.0,40.0,44.0,44.0,44.0,44.0,20.0,20.0,20.0,20.0,20.0,20.0,2.0,2.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,200,1,20,20,20,,1,,,,136,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-04 10:52:33.662989,localhost,28.514435,-77.933543,"Russell, Kansas",,trending,,,,"About 1,130,000 results (0.37 seconds) ",,bitcoin price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,200,200,200,,1,200,10,10,10,,200,,,,5,,20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,300.5,,,,1.0,,,,,,0.0,,3.5,52181.15,0.44255216500570005,,15.91,,,0.0,1.9836842105263157,0.893022800950249,1.0,0.3333333333333332,1.0,5.1400000000000015,5.0,0.06438060649360948,1.0,1.25,1.0,0.09999999999999999,1.0,9.7375,1.5,0.06929589090909098,-0.10514893358585828,0.3333333333333332,1.0,0.16041666666666682,1.0,0.10862350000000019,-0.11353000000000003,0.5,1.0,0.25,1.0,0.1712999999999999,-0.14985049999999986,0.09259259259259268,1.0,5.377777777777778,1.4444444444444444,0.08277150492402231,1.0,4.105263157894737,1.1169590643274854,0.11657210050011912,1.0,3.275,2.0,0.13087987598563106,1.0,7.093457943925234,1.9345794392523366,0.09431818181818181,1.0,4.8538461538461535,1.3076923076923077,0.06810477657935282,1.0,11.88135593220339,1.0,0.06527777777777787,1.0,10.433333333333334,1.0,0.12906205816041888,1.0,7.547814207650273,1.8688524590163935,0.1666666666666666,1.0,0.3333333333333331,1.0,0.21839080459770133,1.0,0.25,1.0,0.14150432900432908,1.0,3.4444444444444464,1.9523809523809523,0.46969696969696967,1.0,0.4772727272727273,1.0,0.3333333333333332,1.0,0.24999999999999983,1.0,0.1666666666666666,1.0,0.25,1.0,0.5,1.0,0.06666666666666671,1.0,8.275,1.0,0.15325380501851085,1.0,5.8090909090909095,2.4363636363636365,0.06737348178137645,1.0,9.55,1.05,0.10121349238996284,1.0,9.795454545454545,1.4545454545454546,0.11764705882352941,1.0,4.45,2.0,0.2333333333333334,1.0,0.16666666666666666,1.0,0.1666666666666666,1.0,0.25,1.0,0.07878787878787887,1.0,8.0,1.0,1.0,1.0,0.13333333333333333,1.0,7.0,2.0,0.13333333333333333,1.0,6.5,2.0,0.1666666666666666,1.0
std,57.879184513951124,,,,0.0,,,,,,0.0,,2.5062735355854278,14370.167979753462,0.20589505020948087,,3.350826793644372,,,0.0,2.0218835763156067,0.11206524819021674,0.0,1.1390647892519134e-16,0.0,0.18467610337532786,0.0,0.007233737943001426,0.0,0.4343722427630694,0.0,0.033757978902788886,0.0,2.2926513036220744,0.5063696835418333,0.2897915837274336,0.17414589969336533,1.1390647892519134e-16,0.0,0.01760959493238671,0.0,0.3643097275474243,0.21340872016519358,0.0,0.0,0.0,0.0,0.5509746831820298,0.3175797763895046,0.029313602945060347,0.0,1.613703939401649,0.5025189076296065,0.03832709496171221,0.0,2.507758857857764,0.32231532526805035,0.048341080392829625,0.0,0.44933143021295013,1.0063092108532552,0.07066830696595103,0.0,2.3817613202044754,1.0926083387186003,0.028237327978143923,0.0,2.8514292974684707,0.46513025470953195,0.017249128521642693,0.0,1.3141766238653774,0.0,0.001980761202256369,0.0,0.5325559305923088,0.0,0.04526860902313453,0.0,3.1892636375958445,0.846077416396111,5.695323946259567e-17,0.0,0.2054120075044402,0.0,0.07777921814700628,0.0,0.0,0.0,0.05676562874207374,0.0,2.3019570637604376,1.0109734732082627,0.0980816477227499,0.0,0.07356123579206246,0.0,1.1390647892519134e-16,0.0,0.08439494725697223,0.0,5.695323946259567e-17,0.0,0.0,0.0,0.0,0.0,4.216374612302231e-17,0.0,0.9604352645732541,0.0,0.0743323588719784,0.0,1.490683751550961,1.2585064099313847,0.024045253838857188,0.0,1.9572350984920617,0.22072142786315213,0.04866434812587602,0.0,0.6130194220734962,0.5036862005093149,0.0,0.0,0.15389675281277315,0.0,0.034199278402838464,0.0,0.0,0.0,5.695323946259567e-17,0.0,0.0,0.0,0.012275628691923229,0.0,4.0509574683346665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.695323946259567e-17,0.0
min,201.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,11.0,,,0.0,0.0,0.5179525826951279,1.0,0.3333333333333333,1.0,4.6,5.0,0.05,1.0,1.0,1.0,0.06666666666666667,1.0,7.0,1.0,-0.5145090909090909,-0.4848363636363637,0.3333333333333333,1.0,0.1111111111111111,1.0,-0.6529666666666667,-0.5694,0.5,1.0,0.25,1.0,-0.794,-0.8481,0.06666666666666667,1.0,3.5,1.0,0.05,1.0,1.0,1.0,0.0625,1.0,3.0,1.0,0.05,1.0,4.25,1.0,0.0625,1.0,1.5,1.0,0.05,1.0,10.0,1.0,0.0625,1.0,10.0,1.0,0.0625,1.0,3.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.0625,1.0,1.0,1.0,0.16666666666666666,1.0,0.25,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.06666666666666667,1.0,7.0,1.0,0.05,1.0,4.25,1.0,0.05,1.0,6.0,1.0,0.05,1.0,8.5,1.0,0.11764705882352941,1.0,4.0,2.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.06666666666666667,1.0,4.0,1.0,1.0,1.0,0.13333333333333333,1.0,7.0,2.0,0.13333333333333333,1.0,6.5,2.0,0.16666666666666666,1.0
25%,250.75,,,,1.0,,,,,,0.0,,1.0,40466.5,0.27331839578850003,,14.0,,,0.0,0.21052631578947367,0.8464068825910933,1.0,0.3333333333333333,1.0,5.2,5.0,0.06158088235294118,1.0,1.0,1.0,0.06666666666666667,1.0,7.5,1.0,-0.06348181818181818,-0.21061818181818184,0.3333333333333333,1.0,0.16666666666666666,1.0,-0.26466666666666666,-0.12726666666666667,0.5,1.0,0.25,1.0,-0.34,0.0,0.06666666666666667,1.0,4.0,1.0,0.0625,1.0,2.0,1.0,0.0733173076923077,1.0,3.0,1.0,0.0787878787878788,1.0,5.0,1.0,0.06666666666666667,1.0,1.5,1.0,0.05,1.0,11.0,1.0,0.0625,1.0,10.0,1.0,0.09090909090909091,1.0,3.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.09090909090909091,1.0,1.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.06666666666666667,1.0,7.0,1.0,0.06346153846153846,1.0,4.25,1.0,0.05,1.0,8.0,1.0,0.058823529411764705,1.0,9.5,1.0,0.11764705882352941,1.0,4.5,2.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.06666666666666667,1.0,4.0,1.0,1.0,1.0,0.13333333333333333,1.0,7.0,2.0,0.13333333333333333,1.0,6.5,2.0,0.16666666666666666,1.0
50%,300.5,,,,1.0,,,,,,0.0,,3.5,51218.0,0.44346743752749995,,16.0,,,0.0,1.526315789473684,0.9155581260844418,1.0,0.3333333333333333,1.0,5.2,5.0,0.06666666666666667,1.0,1.0,1.0,0.1,1.0,9.75,1.5,0.04064545454545454,-0.08446590909090909,0.3333333333333333,1.0,0.16666666666666666,1.0,0.2601333333333333,0.0,0.5,1.0,0.25,1.0,0.2202,0.0,0.06666666666666667,1.0,6.0,1.0,0.06666666666666667,1.0,4.0,1.0,0.11346153846153846,1.0,3.0,2.0,0.125,1.0,7.0,2.0,0.09090909090909091,1.0,4.0,1.0,0.0625,1.0,11.0,1.0,0.06666666666666667,1.0,10.0,1.0,0.13333333333333333,1.0,9.0,2.0,0.16666666666666666,1.0,0.25,1.0,0.16666666666666666,1.0,0.25,1.0,0.09090909090909091,1.0,1.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.25,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.06666666666666667,1.0,9.0,1.0,0.15384615384615385,1.0,6.0,2.0,0.06477732793522267,1.0,8.5,1.0,0.058823529411764705,1.0,10.0,1.0,0.11764705882352941,1.0,4.5,2.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.0787878787878788,1.0,8.0,1.0,1.0,1.0,0.13333333333333333,1.0,7.0,2.0,0.13333333333333333,1.0,6.5,2.0,0.16666666666666666,1.0
75%,350.25,,,,1.0,,,,,,0.0,,6.0,56942.25,0.61244299508825,,17.0,,,0.0,3.0,0.982456140350877,1.0,0.3333333333333333,1.0,5.2,5.0,0.06666666666666667,1.0,1.25,1.0,0.13333333333333333,1.0,12.0,2.0,0.22090749999999998,0.004936363636363638,0.3333333333333333,1.0,0.16666666666666666,1.0,0.43546666666666667,0.0,0.5,1.0,0.25,1.0,0.6486,0.0,0.125,1.0,6.0,2.0,0.07692307692307693,1.0,6.0,1.0,0.16253869969040247,1.0,4.0,3.0,0.13333333333333333,1.0,8.0,2.0,0.13333333333333333,1.0,8.0,2.0,0.09090909090909091,1.0,13.0,1.0,0.06666666666666667,1.0,11.0,1.0,0.1875,1.0,9.666666666666666,3.0,0.16666666666666666,1.0,0.41666666666666663,1.0,0.3333333333333333,1.0,0.25,1.0,0.2,1.0,6.0,3.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.25,1.0,0.5,1.0,0.06666666666666667,1.0,9.0,1.0,0.23529411764705882,1.0,6.5,4.0,0.07692307692307693,1.0,11.25,1.0,0.15384615384615385,1.0,10.0,2.0,0.11764705882352941,1.0,4.5,2.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.09090909090909091,1.0,12.0,1.0,1.0,1.0,0.13333333333333333,1.0,7.0,2.0,0.13333333333333333,1.0,6.5,2.0,0.16666666666666666,1.0
