,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com
count,279.0,279.0,279.0,70.0,70.0,160.0,160.0,160.0,117.0,117.0,193.0,193.0,193.0,10.0,10.0,240.0,240.0,240.0,166.0,166.0
mean,0.08042574607623369,1.0,4.974910394265233,0.22301587301587314,1.0,0.06504694447709146,1.0,3.10625,0.141975308641975,1.0,0.0691501918109659,1.0,5.8264248704663215,0.16666666666666669,1.0,0.16435045384397143,1.0,3.184375,0.3664658634538154,1.0
std,0.02444197416658152,0.0,2.099010020814932,0.09851866553882387,0.0,0.006535326843372777,0.0,0.6500786115985219,0.02772451257483066,0.0,0.009106019602524338,0.0,1.6761737696446928,2.925694557147251e-17,0.0,0.057025840100180906,0.0,0.6276538843467514,0.1233918500521148,0.0
min,0.05263157894736842,1.0,2.0,0.1111111111111111,1.0,0.05555555555555555,1.0,2.0,0.1111111111111111,1.0,0.05555555555555555,1.0,3.0,0.16666666666666666,1.0,0.0625,1.0,2.0,0.16666666666666666,1.0
25%,0.0625,1.0,3.75,0.1111111111111111,1.0,0.0625,1.0,3.0,0.1111111111111111,1.0,0.0625,1.0,5.0,0.16666666666666666,1.0,0.08333333333333333,1.0,3.0,0.3333333333333333,1.0
50%,0.07142857142857142,1.0,5.0,0.16666666666666666,1.0,0.0625,1.0,3.0,0.16666666666666666,1.0,0.06666666666666667,1.0,5.0,0.16666666666666666,1.0,0.1875,1.0,3.0,0.3333333333333333,1.0
75%,0.09090909090909091,1.0,6.0,0.3333333333333333,1.0,0.07142857142857142,1.0,4.0,0.16666666666666666,1.0,0.07692307692307693,1.0,7.0,0.16666666666666666,1.0,0.21052631578947367,1.0,4.0,0.5,1.0
max,0.16666666666666666,1.0,10.0,0.3333333333333333,1.0,0.09090909090909091,1.0,4.0,0.16666666666666666,1.0,0.125,1.0,11.0,0.16666666666666666,1.0,0.2727272727272727,1.0,4.5,0.5,1.0
