,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_coded_ugc_frac_youtube.com_ttiz
count,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
mean,0.035719696969697054,0.425,2.12375,0.03674533799533807,0.04999999999999999,0.15,0.04999999999999999,0.004545454545454544
std,0.04274591820031117,0.4949620881155244,2.8610794074859003,0.04359294403923655,0.11917286644580273,0.35751859933740626,0.11917286644580273,0.01983799002145382
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0
max,0.18181818181818182,1.0,11.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.09090909090909091
