,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org
count,84.0,84.0,84.0,84.0,64.0,64.0
mean,0.11823289144717719,1.0,4.178571428571429,1.0,0.3333333333333332,1.0
std,0.028079101339038563,0.0,2.6533030757348435,0.0,1.1189996278004203e-16,0.0
min,0.0625,1.0,3.0,1.0,0.3333333333333333,1.0
25%,0.10833333333333334,1.0,3.0,1.0,0.3333333333333333,1.0
50%,0.1111111111111111,1.0,3.0,1.0,0.3333333333333333,1.0
75%,0.14285714285714285,1.0,3.0,1.0,0.3333333333333333,1.0
max,0.16666666666666666,1.0,13.0,1.0,0.3333333333333333,1.0
