,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_SearchTweetCarousel,results_full_domain_appears_SearchTweetCarousel,results_full_domain_rank_SearchTweetCarousel,results_top_three_domain_frac_SearchTweetCarousel,results_top_three_domain_appears_SearchTweetCarousel,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com
count,166.0,166.0,166.0,80.0,80.0,40.0,40.0,37.0,37.0,37.0,37.0,37.0,98.0,98.0,98.0,77.0,77.0
mean,0.0837066362109257,1.0,4.243975903614458,0.3333333333333331,1.0,1.0,1.0,0.05340603761656394,1.0,2.5135135135135136,0.11111111111111112,1.0,0.12703746478348413,1.0,3.0306122448979593,0.2467532467532468,1.0
std,0.038849235516493844,0.0,2.5830085534691225,0.2054120075044402,0.0,0.0,0.0,0.0022270648222984255,0.0,0.5067117097095317,1.4069214613467206e-17,0.0,0.04762102743850823,0.0,0.6333364707715334,0.08381609990977854,0.0
min,0.05,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05,1.0,2.0,0.1111111111111111,1.0,0.0625,1.0,2.0,0.16666666666666666,1.0
25%,0.0625,1.0,2.0,0.16666666666666666,1.0,1.0,1.0,0.05263157894736842,1.0,2.0,0.1111111111111111,1.0,0.07692307692307693,1.0,3.0,0.16666666666666666,1.0
50%,0.06666666666666667,1.0,5.0,0.25,1.0,1.0,1.0,0.05263157894736842,1.0,3.0,0.1111111111111111,1.0,0.15789473684210525,1.0,3.0,0.16666666666666666,1.0
75%,0.1,1.0,6.0,0.41666666666666663,1.0,1.0,1.0,0.05555555555555555,1.0,3.0,0.1111111111111111,1.0,0.16666666666666666,1.0,3.0,0.3333333333333333,1.0
max,0.18181818181818182,1.0,10.0,0.6666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,3.0,0.1111111111111111,1.0,0.17647058823529413,1.0,4.0,0.3333333333333333,1.0
