,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_coded_ugc_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_twitter.com_tfo$,results_top_three_coded_ugc_frac_twitter.com_tfo$,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_yelp.com_nan
count,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
mean,0.03235882173382177,0.315,1.72,0.03353830891330895,0.03333333333333332,0.1,0.03333333333333332,0.03199999999999999,0.059999999999999984,0.014196428571428568,0.03333333333333332,0.0005555555555555556,0.0007692307692307692
std,0.05101498865181922,0.46568153976984356,2.900632403754143,0.05190979674112313,0.10025094142341712,0.30075282427025135,0.10025094142341712,0.09638004060906843,0.18045169456215052,0.042713983047231806,0.10025094142341712,0.007856742013183864,0.007672955944185519
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.06666666666666667,1.0,3.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,0.14285714285714285,1.0,10.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.07692307692307693
