,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel
count,288.0,288.0,288.0,83.0,83.0,100.0,100.0,100.0,100.0,100.0
mean,0.08458785138472619,1.0,5.315972222222222,0.32730923694779085,1.0,0.09099800199800193,1.0,2.3,0.162222222222222,1.0
std,0.019839505246845413,0.0,2.408063202964068,0.031297409917880235,0.0,0.00971363009165927,0.0,0.46056618647183833,0.01514777357468281,0.0
min,0.0625,1.0,2.0,0.16666666666666666,1.0,0.07142857142857142,1.0,2.0,0.1111111111111111,1.0
25%,0.06666666666666667,1.0,3.0,0.3333333333333333,1.0,0.09090909090909091,1.0,2.0,0.16666666666666666,1.0
50%,0.08333333333333333,1.0,5.0,0.3333333333333333,1.0,0.09090909090909091,1.0,2.0,0.16666666666666666,1.0
75%,0.09090909090909091,1.0,8.0,0.3333333333333333,1.0,0.1,1.0,3.0,0.16666666666666666,1.0
max,0.14285714285714285,1.0,11.0,0.3333333333333333,1.0,0.1,1.0,3.0,0.16666666666666666,1.0
