,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org
count,167.0,167.0,167.0,60.0,60.0,6.0,6.0
mean,0.08340364725095276,1.0,4.790419161676646,0.36666666666666675,1.0,1.0,1.0
std,0.01924060508498373,0.0,2.0705401638782654,0.10084389681792214,0.0,0.0,0.0
min,0.0625,1.0,2.0,0.3333333333333333,1.0,1.0,1.0
25%,0.08333333333333333,1.0,3.0,0.3333333333333333,1.0,1.0,1.0
50%,0.08333333333333333,1.0,5.0,0.3333333333333333,1.0,1.0,1.0
75%,0.09090909090909091,1.0,6.0,0.3333333333333333,1.0,1.0,1.0
max,0.16666666666666666,1.0,11.0,0.6666666666666666,1.0,1.0,1.0
