,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_top_three_domain_frac_youtube.com,results_top_three_domain_appears_youtube.com
count,547.0,547.0,547.0,133.0,133.0,40.0,40.0,185.0,185.0,185.0,153.0,153.0,196.0,196.0,196.0,1.0,1.0
mean,0.09710756438361597,1.0,4.950639853747715,0.39473684210526255,1.0,1.0,1.0,0.09763917763917754,1.0,2.5891891891891894,0.16666666666666693,1.0,0.09865619074802734,1.0,7.596938775510204,0.3333333333333333,1.0
std,0.030620539355311678,0.0,2.2134980835007654,0.18403639778995065,0.0,0.0,0.0,0.007144903524007311,0.0,1.0549530650449377,2.784672717664771e-16,0.0,0.02489529698776829,0.0,2.400489440761341,,
min,0.0625,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.07692307692307693,1.0,2.0,0.16666666666666666,1.0,0.06666666666666667,1.0,3.0,0.3333333333333333,1.0
25%,0.08333333333333333,1.0,4.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,1.0,2.0,0.16666666666666666,1.0,0.09090909090909091,1.0,6.0,0.3333333333333333,1.0
50%,0.09090909090909091,1.0,4.0,0.3333333333333333,1.0,1.0,1.0,0.1,1.0,2.0,0.16666666666666666,1.0,0.1,1.0,7.0,0.3333333333333333,1.0
75%,0.1,1.0,5.0,0.6666666666666666,1.0,1.0,1.0,0.1,1.0,3.0,0.16666666666666666,1.0,0.10625000000000001,1.0,9.5,0.3333333333333333,1.0
max,0.2,1.0,13.0,0.6666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,6.0,0.16666666666666666,1.0,0.18181818181818182,1.0,11.0,0.3333333333333333,1.0
