,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_coded_ugc_frac_facebook.com_tfo$,results_top_three_coded_ugc_frac_facebook.com_tfo$,results_full_coded_ugc_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_twitter.com_tfo$,results_top_three_coded_ugc_frac_twitter.com_tfo$,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_youtube.com_tfo$,results_top_three_coded_ugc_frac_youtube.com_tfo$,results_full_coded_ugc_frac_youtube.com_ttiz,results_full_coded_ugc_frac_yelp.com_nan,results_top_three_coded_ugc_frac_yelp.com_nan
count,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
mean,0.031683566433566304,0.34,1.745,0.03259174159174145,0.03841666666666661,0.12125,0.03841666666666661,0.005194444444444446,0.00025,0.03724999999999998,0.0630000000000001,0.0035714285714285704,0.00833333333333333,0.001130952380952381,0.0043313492063492085,0.00041666666666666664,0.002272727272727272,0.0011625457875457876,0.0006666666666666666
std,0.04651243851396972,0.474005117128316,2.780222481440635,0.04733836505989101,0.1046106807210852,0.32662178392931757,0.1046106807210852,0.02299166782783235,0.007071067811865587,0.10291911677338299,0.18404711808962776,0.02231751708979166,0.05207420654284674,0.01213433607474308,0.021294563072848435,0.011785113019775828,0.01420205632986759,0.011086095524147924,0.01373609459828224
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,3.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,0.2222222222222222,1.0,11.0,0.2222222222222222,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,0.2,0.3333333333333333,0.6,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.3333333333333333
