,key,code_str
88,https://www.tripadvisor.com/Restaurant_Review-g56650-d4966433-Reviews-Pizza_Hut-Sealy_Texas.html,ttiz
89,https://www.tripadvisor.com/Restaurant_Review-g60661-d5213200-Reviews-Pizza_Hut-Waianae_Oahu_Hawaii.html,ttiz
90,https://www.tripadvisor.com/ShowUserReviews-g34451-d5088739-r428904780-Pizza_Hut-Milton_Florida.html,ttiz
91,https://www.tripadvisor.com/Restaurant_Review-g48502-d814579-Reviews-McDonald_s-Riverhead_Long_Island_New_York.html,ttiz
92,https://www.tripadvisor.com/Restaurant_Review-g56803-d4540601-Reviews-McDonald_s-Uvalde_Texas.html,ttiz
93,https://www.facebook.com/progressive/,tfo$
94,https://www.facebook.com/geico/,tfo$
95,https://www.youtube.com/channel/UCHxcqJWQQcoVmVh5eHVqVxg,tfo$
96,https://www.youtube.com/watch?v=GygEAcFFMVs,ftiz
97,https://www.youtube.com/watch?v=s4M8GjgfG9k,ftiz
98,https://www.youtube.com/watch?v=fvyTYU8dMAs,tfoz
99,https://www.youtube.com/watch?v=e9MfWH9mwhk,ttiz
100,https://www.youtube.com/watch?v=dwgGtH7oPhQ,tfoz
101,https://www.linkedin.com/company/quicken-loans,tfo$
102,https://www.yelp.com/biz/agent-matthew-young-geico-greensboro-3,ttiz
103,https://www.yelp.com/biz/geico-insurance-agent-harrisonburg-4,tto$
104,https://www.yelp.com/search?cflt=paydayloans&find_loc=Tyler%2C+TX,tfo$
105,https://www.facebook.com/GEICOCharlestonWV/about,ttiz
106,https://www.youtube.com/channel/UCzX4gPZ9x1iK29lv_sHhuDQ,tfo$
107,https://www.yelp.com/biz/progressive-auto-insurance-irvine,ttiz
108,https://www.yelp.com/search?find_desc=geico&find_loc=Irvine%2C+CA,ttiz
109,https://www.yelp.com/biz/geico-insurance-agent-lawton,tfo$
110,https://www.yelp.com/search?find_desc=Loan+Officers&find_loc=Irvine%2C+CA,ttiz
111,https://www.yelp.com/search?cflt=paydayloans&find_loc=Irvine%2C+CA,ttiz
112,https://www.yelp.com/search?cflt=paydayloans&find_loc=Cincinnati%2C+OH,ttiz
113,https://www.facebook.com/EaglesBand/,tfoc
114,https://www.facebook.com/FairmontMcdonalds/,tfo$
115,https://www.facebook.com/hillaryclinton/,tfip
116,https://www.youtube.com/watch?v=TR3LpriSmxM,ftiz
117,https://www.linkedin.com/in/michael-flynn-01790712,ttiz
118,https://www.linkedin.com/in/mike-flynn-49500b9,ttiz
119,https://www.yelp.com/biz/pizza-hut-charlotte-15,ttiz
120,https://www.yelp.com/biz/pizza-hut-charlotte-12,ttiz
121,https://www.yelp.com/biz/pizza-hut-atlanta-20,ttiz
122,https://www.yelp.com/biz/pizza-hut-atlanta-10,ttiz
123,https://www.yelp.com/biz/pizza-hut-lees-summit-7,ttiz
