GEOID,POP_ESTIMATE_2016
12043,"13,970"
12045,"15,990"
12047,"14,361"
12049,"27,360"
12051,"39,290"
12053,"182,835"
12055,"100,917"
12057,"1,376,238"
12059,"19,487"
12061,"151,563"
12063,"48,229"
12065,"13,906"
12067,"8,617"
12069,"335,396"
12071,"722,336"
12073,"287,822"
12075,"39,961"
12077,"8,202"
12079,"18,224"
12081,"375,888"
12083,"349,020"
12085,"158,701"
12086,"2,712,945"
12087,"79,077"
12089,"80,622"
12091,"201,170"
12093,"40,314"
12095,"1,314,367"
12097,"336,015"
12099,"1,443,810"
12101,"512,368"
12103,"960,730"
12105,"666,149"
12107,"72,277"
12109,"235,087"
12111,"306,507"
12113,"170,497"
12115,"412,569"
12117,"455,479"
12119,"123,996"
12121,"43,794"
12123,"22,175"
12125,"15,142"
12127,"529,364"
12129,"31,893"
12131,"65,889"
12133,"24,569"
13000,"10,310,371"
13001,"18,428"
13003,"8,273"
13005,"11,372"
13007,"3,150"
13009,"45,144"
13011,"18,397"
13013,"77,126"
13015,"103,807"
13017,"17,243"
13019,"18,993"
13021,"152,760"
13023,"12,970"
13025,"18,355"
13027,"15,687"
13029,"36,230"
13031,"74,722"
13033,"22,688"
13035,"23,817"
13037,"6,324"
13039,"53,008"
13043,"10,910"
13045,"116,261"
13047,"66,398"
13049,"12,497"
13051,"289,082"
13053,"10,922"
13055,"24,824"
13057,"241,689"
13059,"124,707"
13061,"3,020"
13063,"279,462"
13065,"6,829"
13067,"748,150"
13069,"43,012"
13071,"45,708"
13073,"147,450"
13075,"17,167"
13077,"140,526"
13079,"12,322"
13081,"22,721"
13083,"16,257"
13085,"23,604"
13087,"26,822"
13089,"740,321"
13091,"20,563"
13093,"13,763"
13095,"90,017"
13097,"142,224"
13099,"10,339"
13101,"3,962"
13103,"58,712"
13105,"19,143"
13107,"22,635"
13109,"10,670"
13111,"24,900"
13113,"111,627"
13115,"96,560"
13117,"221,009"
13119,"22,320"
13121,"1,023,336"
13123,"29,733"
13125,"3,006"
13127,"84,502"
13129,"56,904"
13131,"24,808"
13133,"17,003"
13135,"907,135"
13137,"44,246"
13139,"196,637"
13141,"8,640"
13143,"29,042"
13145,"33,652"
13147,"25,553"
13149,"11,487"
13151,"221,768"
13153,"152,122"
13155,"9,422"
13157,"64,615"
13159,"13,654"
13161,"14,877"
13163,"15,916"
13165,"8,849"
13167,"9,505"
13169,"28,623"
13171,"18,469"
13173,"10,399"
13175,"47,516"
13177,"29,337"
13179,"62,570"
13181,"7,828"
13183,"18,437"
13185,"114,628"
13187,"31,445"
13189,"21,490"
13191,"13,927"
13193,"13,450"
13195,"28,824"
13197,"8,524"
13199,"21,074"
13201,"5,926"
13205,"22,459"
13207,"27,306"
13209,"9,060"
13211,"18,170"
13213,"39,315"
13215,"197,485"
13217,"106,999"
13219,"36,838"
13221,"14,921"
13223,"155,825"
13225,"26,655"
13227,"30,832"
13229,"19,171"
13231,"17,941"
13233,"41,776"
13235,"11,251"
13237,"21,477"
13239,"2,335"
13241,"16,559"
13243,"7,177"
13245,"201,647"
13247,"89,355"
13249,"5,098"
13251,"14,044"
13253,"8,468"
13255,"64,806"
13257,"25,751"
13259,"5,705"
13261,"30,389"
13263,"6,171"
13265,"1,593"
13267,"25,092"
13269,"8,232"
13271,"15,965"
13273,"8,967"
13275,"45,248"
13277,"40,828"
13279,"27,196"
13281,"11,391"
13283,"6,637"
13285,"70,005"
13287,"8,030"
13289,"8,171"
13291,"22,928"
13293,"26,335"
13295,"67,896"
13297,"90,184"
13299,"35,738"
13301,"5,442"
13303,"20,457"
13305,"30,104"
13307,"2,599"
13309,"7,978"
13311,"28,884"
13313,"104,589"
13315,"8,761"
13317,"9,805"
13319,"9,104"
13321,"20,748"
15000,"1,428,557"
15001,"198,449"
15003,"992,605"
15005,88
15007,"72,029"
15009,"165,386"
16000,"1,683,140"
16001,"444,028"
16003,"3,900"
16005,"84,377"
16007,"5,945"
16009,"9,092"
16011,"45,201"
16013,"21,791"
16015,"7,124"
16017,"42,536"
16019,"112,232"
16021,"11,681"
16023,"2,501"
16025,"1,072"
16027,"211,698"
16029,"6,887"
16031,"23,504"
16033,860
16035,"8,497"
16037,"4,096"
16039,"26,018"
16041,"13,406"
16043,"12,943"
16045,"17,184"
16047,"15,185"
16049,"16,156"
16051,"27,839"
16053,"22,994"
16055,"154,311"
16057,"39,196"
16059,"7,723"
16061,"3,853"
16063,"5,271"
16065,"39,048"
16067,"20,616"
16069,"40,369"
16071,"4,343"
16073,"11,389"
16075,"23,026"
16077,"7,654"
16079,"12,452"
16081,"10,960"
16083,"83,514"
16085,"10,496"
16087,"10,172"
17000,"12,801,539"
17001,"66,578"
17003,"6,478"
17005,"16,824"
17007,"53,503"
17009,"6,762"
17011,"33,359"
17013,"4,894"
17015,"14,539"
17017,"12,676"
17019,"208,419"
17021,"33,309"
17023,"15,938"
17025,"13,300"
17027,"37,729"
17029,"52,343"
17031,"5,203,499"
17033,"19,308"
17035,"10,858"
17037,"104,528"
17039,"16,226"
17041,"19,630"
17043,"929,368"
17045,"17,566"
17047,"6,523"
17049,"34,386"
17051,"21,789"
17053,"13,575"
17055,"39,156"
17057,"35,536"
17059,"5,212"
17061,"13,093"
17063,"50,437"
17065,"8,061"
17067,"18,508"
17069,"4,024"
17071,"6,869"
17073,"49,280"
17075,"28,334"
17077,"58,870"
17079,"9,536"
17081,"38,460"
17083,"22,025"
17085,"21,770"
17087,"12,902"
17089,"531,715"
17091,"110,008"
17093,"124,695"
17095,"50,938"
17097,"703,047"
17099,"110,642"
17101,"16,377"
17103,"34,251"
17105,"36,526"
17107,"29,527"
17109,"30,996"
17111,"307,004"
17113,"172,418"
17115,"106,550"
17117,"45,908"
17119,"265,759"
17121,"38,140"
17123,"11,939"
17125,"13,507"
17127,"14,658"
17129,"12,516"
17131,"15,730"
17133,"34,068"
17135,"28,952"
17137,"34,277"
17139,"14,827"
17141,"51,273"
17143,"185,006"
17145,"21,357"
17147,"16,560"
17149,"15,950"
17151,"4,157"
17153,"5,619"
17155,"5,611"
17157,"32,621"
17159,"15,930"
17161,"144,784"
17163,"262,759"
