,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_full_coded_ugc_frac_facebook.com_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_nan,results_top_three_domain_frac_youtube.com,results_top_three_domain_appears_youtube.com,results_top_three_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_yelp.com_nan,results_full_coded_ugc_frac_MapsPlaces_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_coded_ugc_frac_NewsCarousel_nan
count,782.0,782.0,290.0,782.0,782.0,782.0,782.0,782.0,782.0,99.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,72.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,231.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,123.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0
mean,0.03735677153196317,0.37084398976982097,5.281034482758621,0.03735677153196317,0.03751065643648759,0.11253196930946291,0.03751065643648759,0.01762879064669344,0.1265984654731458,2.1515151515151514,0.01762879064669344,0.042199488491048535,0.1265984654731458,0.042199488491048535,0.0061198392400438435,0.012048692994984546,0.09207161125319693,6.833333333333333,0.012048692994984546,0.002557544757033248,0.0076726342710997444,0.002557544757033248,0.0008361204013377925,0.00011625203441060219,0.02810504712678618,0.29539641943734013,5.095238095238095,0.02810504712678618,0.04518329070758735,0.13554987212276215,0.04518329070758735,0.08951406649616368,0.08951406649616368,0.08951406649616368,0.012254795502877343,0.15728900255754474,5.333333333333333,0.012254795502877343,0.025149190110826936,0.07544757033248081,0.025149190110826936,0.0012787723785166241,0.0012787723785166241,0.0012787723785166241
std,0.051226999307458325,0.48333990998819,2.6051225088283387,0.051226999307458325,0.10540735680855094,0.3162220704256526,0.10540735680855094,0.04656750897564833,0.33273543630612057,0.360374985078224,0.04656750897564833,0.11091181210204301,0.33273543630612057,0.11091181210204301,0.027941378412943668,0.03987032199036876,0.28931205432133905,2.1721670882220185,0.03987032199036876,0.029104244999999716,0.08731273499999663,0.029104244999999716,0.009719999671865907,0.0032509024538734136,0.04458393272331123,0.4565127336023201,3.949631112056546,0.04458393272331123,0.1141763439764479,0.3425290319293452,0.1141763439764479,0.2856670324889566,0.2856670324889566,0.2856670324889566,0.028443610360162346,0.3643060382178345,3.7671284595300274,0.028443610360162346,0.08809373148616574,0.2642811944585005,0.08809373148616574,0.0357599269926074,0.0357599269926074,0.0357599269926074
min,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,7.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,9.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,0.18181818181818182,1.0,11.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,1.0,3.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.18181818181818182,1.0,10.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.125,0.09090909090909091,0.14285714285714285,1.0,12.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,1.0,12.0,0.09090909090909091,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
