,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com
count,168.0,168.0,168.0,60.0,60.0,40.0,40.0,40.0
mean,0.0814574314574316,1.0,4.779761904761905,0.33333333333333326,1.0,0.10776515151515147,1.0,7.75
std,0.011213381636547594,0.0,2.117578538124827,5.597960807009036e-17,0.0,0.017494411261102995,0.0,1.7722938923964167
min,0.0625,1.0,2.0,0.3333333333333333,1.0,0.08333333333333333,1.0,6.0
25%,0.08333333333333333,1.0,3.0,0.3333333333333333,1.0,0.09090909090909091,1.0,6.0
50%,0.08333333333333333,1.0,5.0,0.3333333333333333,1.0,0.10795454545454546,1.0,7.75
75%,0.09090909090909091,1.0,5.0,0.3333333333333333,1.0,0.125,1.0,9.5
max,0.1,1.0,11.0,0.3333333333333333,1.0,0.125,1.0,9.5
