,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org
count,43.0,43.0,43.0,43.0,25.0,25.0
mean,0.11606010268800972,1.0,4.255813953488372,1.0,0.3333333333333332,1.0
std,0.03008034499888383,0.0,2.2048973980643933,0.0,1.1331166295920987e-16,0.0
min,0.0625,1.0,3.0,1.0,0.3333333333333333,1.0
25%,0.1,1.0,3.0,1.0,0.3333333333333333,1.0
50%,0.14285714285714285,1.0,3.0,1.0,0.3333333333333333,1.0
75%,0.14285714285714285,1.0,4.0,1.0,0.3333333333333333,1.0
max,0.14285714285714285,1.0,10.0,1.0,0.3333333333333333,1.0
