,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_washingtonpost.com,results_full_domain_appears_washingtonpost.com,results_full_domain_rank_washingtonpost.com,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_frac_medicalmarijuanainc.com,results_full_domain_appears_medicalmarijuanainc.com,results_full_domain_rank_medicalmarijuanainc.com,results_full_domain_frac_webmd.com,results_full_domain_appears_webmd.com,results_full_domain_rank_webmd.com,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_frac_procon.org,results_full_domain_appears_procon.org,results_full_domain_rank_procon.org,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_washingtonpost.com,results_top_three_domain_appears_washingtonpost.com,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_domain_frac_medicalmarijuanainc.com,results_top_three_domain_appears_medicalmarijuanainc.com,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_domain_frac_washingtonpost.com,results_top_domain_appears_washingtonpost.com,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_full_domain_frac_ncsl.org,results_full_domain_appears_ncsl.org,results_full_domain_rank_ncsl.org,results_full_domain_frac_huffingtonpost.com,results_full_domain_appears_huffingtonpost.com,results_full_domain_rank_huffingtonpost.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_top_three_domain_frac_procon.org,results_top_three_domain_appears_procon.org,results_full_domain_frac_usnews.com,results_full_domain_appears_usnews.com,results_full_domain_rank_usnews.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_procon.org,results_top_domain_appears_procon.org,results_full_domain_frac_deathpenaltyinfo.org,results_full_domain_appears_deathpenaltyinfo.org,results_full_domain_rank_deathpenaltyinfo.org,results_top_three_domain_frac_deathpenaltyinfo.org,results_top_three_domain_appears_deathpenaltyinfo.org,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_domain_frac_deathpenaltyinfo.org,results_top_domain_appears_deathpenaltyinfo.org,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_full_domain_frac_childrensplace.com,results_full_domain_appears_childrensplace.com,results_full_domain_rank_childrensplace.com,results_top_three_domain_frac_childrensplace.com,results_top_three_domain_appears_childrensplace.com,results_full_domain_frac_alcoholproblemsandsolutions.org,results_full_domain_appears_alcoholproblemsandsolutions.org,results_full_domain_rank_alcoholproblemsandsolutions.org,results_full_domain_frac_foxnews.com,results_full_domain_appears_foxnews.com,results_full_domain_rank_foxnews.com,results_top_three_domain_frac_alcoholproblemsandsolutions.org,results_top_three_domain_appears_alcoholproblemsandsolutions.org,results_top_three_domain_frac_people also ask,results_top_three_domain_appears_people also ask,results_top_domain_frac_alcoholproblemsandsolutions.org,results_top_domain_appears_alcoholproblemsandsolutions.org,results_full_domain_frac_thehill.com,results_full_domain_appears_thehill.com,results_full_domain_rank_thehill.com,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_domain_frac_plannedparenthood.org,results_full_domain_appears_plannedparenthood.org,results_full_domain_rank_plannedparenthood.org,results_top_three_domain_frac_plannedparenthood.org,results_top_three_domain_appears_plannedparenthood.org,results_top_domain_frac_plannedparenthood.org,results_top_domain_appears_plannedparenthood.org
count,400.0,400,400,400,400.0,400,400,400,400,400,400.0,400,400.0,400.0,400.0,400,400.0,400,400,400.0,400.0,400.0,400.0,183.0,183.0,183.0,240.0,240.0,240.0,40.0,40.0,40.0,76.0,76.0,76.0,360.0,360.0,360.0,266.0,266.0,266.0,120.0,120.0,120.0,400.0,400.0,78.0,78.0,240.0,240.0,40.0,40.0,400.0,400.0,24.0,24.0,146.0,146.0,400.0,400.0,56.0,56.0,56.0,95.0,95.0,95.0,240.0,240.0,240.0,162.0,162.0,162.0,268.0,268.0,268.0,130.0,130.0,78.0,78.0,78.0,202.0,202.0,44.0,44.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,14.0,14.0,26.0,26.0,40.0,40.0,40.0,22.0,22.0,40.0,40.0,40.0,48.0,48.0,48.0,39.0,39.0,89.0,89.0,39.0,39.0,75.0,75.0,75.0,80.0,80.0,61.0,61.0,61.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
unique,,1,1,1,,400,1,40,40,40,,1,,,,243,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-02 01:20:23.890991,localhost,31.488592,-80.382288,"Sullivan Township, Illinois",,procon_popular,,,,"About 12,000,000 results (0.40 seconds) ",,gun control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,400,400,400,,1,400,10,10,10,,400,,,,9,,40,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,200.5,,,,1.0,,,,,,0.0,,4.35,51817.575,0.32309616555685805,,17.6175,,,0.0,3.213589743589738,0.8617629628520466,1.0,0.07096815957712771,1.0,7.226775956284153,0.06234647331154681,1.0,1.5625,0.08333333333333336,1.0,2.325,0.06465643274853802,1.0,6.578947368421052,0.08482187497506108,1.0,3.4138888888888888,0.09089943577725523,1.0,4.133458646616542,0.06697391456582626,1.0,9.35,-0.1708939254079253,-0.19325816410672672,0.16666666666666652,1.0,0.16666666666666655,1.0,0.20000000000000004,1.0,-0.12914649999999983,-0.1787744166666665,0.25,1.0,0.25,1.0,-0.057076999999999864,-0.100135,0.06084121148459375,1.0,8.321428571428571,0.06545776205218926,1.0,8.010526315789473,0.09826689276137797,1.0,8.87986111111111,0.0662251953646289,1.0,10.820987654320987,0.06707048164741305,1.0,6.138059701492537,0.282051282051282,1.0,0.0625062845651081,1.0,7.884615384615385,0.2656765676567656,1.0,1.0,1.0,0.125,1.0,2.3375,0.32916666666666683,1.0,0.16666666666666674,1.0,1.0,1.0,0.25,1.0,0.10204545454545451,1.0,3.8,0.3333333333333332,1.0,0.15164835164835172,1.0,4.1,0.0711568200998348,1.0,9.92013888888889,0.3333333333333335,1.0,0.24157303370786556,1.0,1.0,1.0,0.060790849673202606,1.0,7.906666666666666,1.0,1.0,0.0965706879641306,1.0,7.590163934426229,0.12486111111111112,1.0,2.1625,0.2791666666666667,1.0,1.0,1.0
std,115.61430130683084,,,,0.0,,,,,,0.0,,1.6535827283807103,12446.744208742684,0.15719117570760202,,2.2402545840827486,,,0.0,2.3183739962564105,0.11731506054643975,0.0,0.023730076497168455,0.0,4.304890394269234,0.0021455553939764825,0.0,0.7682575513927387,0.029882843413643397,0.0,0.46062944671339356,0.008269492301464239,0.0,1.2781565672977298,0.03074226991996647,0.0,1.2515511885624457,0.03284179178207229,0.0,2.316888135869423,0.007559399631220261,0.0,3.76773118989767,0.3757331129029595,0.2863041702192313,1.3967612614856808e-16,0.0,1.112543242463393e-16,0.0,0.06751595780557779,0.0,0.4287816779947429,0.3149605673752344,0.0,0.0,0.0,0.0,0.5253665492765475,0.33999085609847957,0.0033364745708758985,0.0,1.402687587288228,0.007319268934813011,0.0,2.6072514950312464,0.04478361052516061,0.0,2.3148876363874837,0.006395569671019089,0.0,1.119584666710648,0.008193849536986078,0.0,3.7195161937439596,0.07722065279990326,0.0,0.0006332196273559648,0.0,1.8232322463624375,0.08204886644695714,0.0,0.0,0.0,0.0,0.0,0.2628126953183822,0.0263523138347365,0.0,8.432749224604462e-17,0.0,0.0,0.0,0.0,0.0,0.027193942147296153,0.0,1.1480194762932892,1.136349493877995e-16,0.0,0.012241904437275094,0.0,0.6324555320336759,0.02195941899083386,0.0,0.7228044797847123,1.6871045398363743e-16,0.0,0.08337588290635528,0.0,0.0,0.0,0.001962014937966491,0.0,2.494173390304068,0.0,0.0,0.03451649940188376,0.0,0.9509127050773882,0.0025897929531838813,0.0,0.2371708245126284,0.07905694150420947,0.0,0.0,0.0
min,1.0,,,,1.0,,,,,,0.0,,1.0,34955.0,0.08897485493230001,,11.0,,,0.0,0.0,0.5674164636268708,1.0,0.05555555555555555,1.0,2.0,0.05555555555555555,1.0,1.0,0.0625,1.0,2.0,0.05555555555555555,1.0,4.0,0.05555555555555555,1.0,1.0,0.0625,1.0,1.0,0.058823529411764705,1.0,4.0,-0.904009090909091,-0.8113166666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,-0.9153000000000001,-0.8330000000000001,0.25,1.0,0.25,1.0,-0.9118,-0.7845,0.058823529411764705,1.0,6.0,0.058823529411764705,1.0,5.0,0.05555555555555555,1.0,6.0,0.05555555555555555,1.0,8.0,0.058823529411764705,1.0,2.0,0.16666666666666666,1.0,0.058823529411764705,1.0,5.0,0.16666666666666666,1.0,1.0,1.0,0.125,1.0,2.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,0.09090909090909091,1.0,3.0,0.3333333333333333,1.0,0.07692307692307693,1.0,4.0,0.0625,1.0,8.0,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.058823529411764705,1.0,5.0,1.0,1.0,0.05555555555555555,1.0,7.0,0.1111111111111111,1.0,2.0,0.16666666666666666,1.0,1.0,1.0
25%,100.75,,,,1.0,,,,,,0.0,,3.0,42608.0,0.20512701292325,,16.0,,,0.0,1.4615384615384617,0.7587545373178859,1.0,0.0625,1.0,2.0,0.0625,1.0,1.0,0.065625,1.0,2.0,0.0625,1.0,6.0,0.0625,1.0,3.0,0.0625,1.0,2.0,0.058823529411764705,1.0,4.0,-0.4926545454545455,-0.3821833333333333,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,-0.3965666666666667,-0.34,0.25,1.0,0.25,1.0,-0.25,-0.34,0.058823529411764705,1.0,8.0,0.058823529411764705,1.0,5.0,0.0625,1.0,7.0,0.0625,1.0,10.0,0.0625,1.0,2.0,0.16666666666666666,1.0,0.0625,1.0,7.0,0.16666666666666666,1.0,1.0,1.0,0.125,1.0,2.0,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,0.09090909090909091,1.0,3.0,0.3333333333333333,1.0,0.15384615384615385,1.0,4.0,0.0625,1.0,10.0,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.058823529411764705,1.0,6.0,1.0,1.0,0.07692307692307693,1.0,7.0,0.125,1.0,2.0,0.16666666666666666,1.0,1.0,1.0
50%,200.5,,,,1.0,,,,,,0.0,,5.0,50153.0,0.287763674069,,18.0,,,0.0,2.6153846153846154,0.8686355311355312,1.0,0.0625,1.0,6.0,0.0625,1.0,1.0,0.06666666666666667,1.0,2.0,0.0625,1.0,6.0,0.06666666666666667,1.0,3.5,0.07692307692307693,1.0,4.0,0.06666666666666667,1.0,11.0,-0.13583636363636364,-0.03284545454545454,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,-0.08938333333333333,0.0,0.25,1.0,0.25,1.0,0.0,0.0,0.058823529411764705,1.0,8.0,0.0625,1.0,10.0,0.07692307692307693,1.0,8.0,0.0625,1.0,11.0,0.0625,1.0,6.0,0.3333333333333333,1.0,0.0625,1.0,7.0,0.3333333333333333,1.0,1.0,1.0,0.125,1.0,2.5,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,0.09090909090909091,1.0,3.0,0.3333333333333333,1.0,0.15384615384615385,1.0,4.0,0.0625,1.0,10.0,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,6.0,1.0,1.0,0.07692307692307693,1.0,7.0,0.125,1.0,2.0,0.3333333333333333,1.0,1.0,1.0
75%,300.25,,,,1.0,,,,,,0.0,,6.0,56462.75,0.43436662808399995,,19.0,,,0.0,5.288461538461538,0.9853479853479854,1.0,0.0625,1.0,10.0,0.0625,1.0,2.0,0.125,1.0,2.5,0.06666666666666667,1.0,7.0,0.1,1.0,4.0,0.1,1.0,6.0,0.07692307692307693,1.0,13.0,0.07585454545454544,0.003690909090909088,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2423,0.10606666666666666,0.25,1.0,0.25,1.0,0.128,0.128,0.0625,1.0,8.0,0.07692307692307693,1.0,10.0,0.125,1.0,12.0,0.07692307692307693,1.0,11.0,0.07692307692307693,1.0,9.0,0.3333333333333333,1.0,0.0625,1.0,8.0,0.3333333333333333,1.0,1.0,1.0,0.125,1.0,2.5,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,0.1,1.0,4.0,0.3333333333333333,1.0,0.15384615384615385,1.0,4.0,0.06785714285714287,1.0,10.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.0625,1.0,10.0,1.0,1.0,0.125,1.0,8.5,0.125,1.0,2.5,0.3333333333333333,1.0,1.0,1.0
