,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_domain_count_youtube.com
count,360.0,360.0,360.0,360.0,202.0,202.0,80.0,80.0,61.0,61.0,61.0,61.0
mean,0.08482187497506108,1.0,3.4138888888888888,1.2222222222222223,0.2656765676567656,1.0,1.0,1.0,0.0965706879641306,1.0,7.590163934426229,1.3934426229508197
std,0.03074226991996647,0.0,1.2515511885624457,0.41631833164688004,0.08204886644695714,0.0,0.0,0.0,0.03451649940188376,0.0,0.9509127050773882,0.6397574677065824
min,0.05555555555555555,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,7.0,1.0
25%,0.0625,1.0,3.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.07692307692307693,1.0,7.0,1.0
50%,0.06666666666666667,1.0,3.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.07692307692307693,1.0,7.0,1.0
75%,0.1,1.0,4.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.125,1.0,8.5,2.0
max,0.15384615384615385,1.0,7.0,2.0,0.3333333333333333,1.0,1.0,1.0,0.1875,1.0,12.0,3.0
