,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_count_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_count_facebook.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com
count,624.0,624.0,624.0,624.0,266.0,266.0,100.0,100.0,197.0,197.0,197.0,197.0,112.0,112.0,160.0,160.0,160.0,160.0,4.0,4.0,345.0,345.0,345.0,345.0,223.0,223.0
mean,0.08576563602183608,1.0,4.637019230769231,1.1730769230769231,0.28070175438596506,1.0,1.0,1.0,0.06249458876421352,1.0,3.3197969543147208,1.0,0.14484126984126952,1.0,0.06695934223048183,1.0,6.2375,1.0,0.16666666666666666,1.0,0.15103910959443342,1.0,3.35,2.4231884057971014,0.331091180866966,1.0
std,0.03701550655570587,0.0,2.347272197016101,0.3786172618773211,0.15098338872162884,0.0,0.0,0.0,0.00801661651015464,0.0,0.6656774663261091,0.0,0.027254472997323843,0.0,0.00808986005522103,0.0,1.9889237315852248,0.0,0.0,0.0,0.058156215893338144,0.0,1.005508086306576,0.985674265670314,0.13186107272220318,0.0
min,0.05,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.05,1.0,2.0,1.0,0.1111111111111111,1.0,0.05,1.0,3.0,1.0,0.16666666666666666,1.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0
25%,0.0625,1.0,3.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,3.0,1.0,0.1111111111111111,1.0,0.0625,1.0,5.0,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,3.0,1.0,0.16666666666666666,1.0
50%,0.07142857142857142,1.0,4.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0625,1.0,3.0,1.0,0.16666666666666666,1.0,0.06666666666666667,1.0,6.0,1.0,0.16666666666666666,1.0,0.17647058823529413,1.0,3.0,3.0,0.3333333333333333,1.0
75%,0.1,1.0,6.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.06666666666666667,1.0,4.0,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,7.0,1.0,0.16666666666666666,1.0,0.2,1.0,4.0,3.0,0.5,1.0
max,0.2857142857142857,1.0,11.0,2.0,0.6666666666666666,1.0,1.0,1.0,0.08333333333333333,1.0,4.0,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,13.0,1.0,0.16666666666666666,1.0,0.25,1.0,10.0,4.0,0.5,1.0
