,add_inc,column,fisher_pval,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
50,0.0,results_full_domain_appears_nymag.com,1.0,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
51,0.006,results_full_code_appears_facebook.com:tfip,1.0,180,180,0.11388888888888889,0.111,0.117,1.05,360,rural,urban,0.8686820111728939,urban
52,0.0,results_top_three_domain_appears_nymag.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
53,0.0,results_top_three_domain_appears_nytimes.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
54,0.011,results_full_domain_appears_SearchTweetCarousel,0.8264324545816375,180,180,0.06111111111111111,0.067,0.056,1.2,360,rural,urban,0.6609618418794074,rural
55,0.011,results_top_three_domain_appears_SearchTweetCarousel,0.8264324545816375,180,180,0.06111111111111111,0.067,0.056,1.2,360,rural,urban,0.6609618418794074,rural
56,0.0,results_full_domain_appears_washingtonpost.com,1.0,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
57,0.0,results_full_code_appears_twitter.com:tfip,1.0,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
58,0.006,results_top_three_code_appears_twitter.com:tfip,1.0,180,180,0.06388888888888888,0.061,0.067,1.09,360,rural,urban,0.8299469363786387,urban
59,0.0,results_full_domain_appears_instagram.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
60,0.0,results_full_code_appears_instagram.com:tfip,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
61,0.0,results_full_domain_appears_usa.gov,1.0,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
62,0.011,results_full_code_appears_linkedin.com:tfoz,0.4986072423396996,180,180,0.005555555555555556,0.0,0.011,,360,rural,urban,0.15787666304531572,urban
63,0.0,results_top_three_domain_appears_usa.gov,1.0,180,180,0.016666666666666666,0.017,0.017,1.0,360,rural,urban,1.0,
64,0.0,results_full_domain_appears_senate.gov,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
65,0.0,results_top_three_domain_appears_senate.gov,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
66,0.0,results_top_three_domain_appears_washingtonpost.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
67,0.0,results_full_domain_appears_supremecourt.gov,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
68,0.0,results_top_three_domain_appears_supremecourt.gov,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
