,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_count_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_count_facebook.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com
count,273.0,273.0,273.0,273.0,86.0,86.0,155.0,155.0,155.0,155.0,112.0,112.0,157.0,157.0,157.0,157.0,4.0,4.0,240.0,240.0,240.0,240.0,165.0,165.0
mean,0.08690298725808866,1.0,5.7344322344322345,1.1758241758241759,0.20930232558139528,1.0,0.06540983077310845,1.0,3.1354838709677417,1.0,0.14484126984126952,1.0,0.06728340609475857,1.0,6.13375796178344,1.0,0.16666666666666666,1.0,0.16302012513844918,1.0,3.1822916666666665,2.5458333333333334,0.37070707070707076,1.0
std,0.037814324100039126,0.0,2.1735342737019603,0.3813696271356907,0.13572859913068808,0.0,0.006366961766624078,0.0,0.6352974490458297,0.0,0.027254472997323843,0.0,0.007814574763177122,0.0,1.8504869123657268,0.0,0.0,0.0,0.05912161886108329,0.0,0.6307571314904666,0.9583280273942024,0.12394748641005035,0.0
min,0.05555555555555555,1.0,2.0,1.0,0.1111111111111111,1.0,0.05263157894736842,1.0,2.0,1.0,0.1111111111111111,1.0,0.05555555555555555,1.0,3.0,1.0,0.16666666666666666,1.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0
25%,0.06666666666666667,1.0,4.0,1.0,0.1111111111111111,1.0,0.0625,1.0,3.0,1.0,0.1111111111111111,1.0,0.0625,1.0,5.0,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,3.0,1.0,0.3333333333333333,1.0
50%,0.07692307692307693,1.0,5.0,1.0,0.16666666666666666,1.0,0.06666666666666667,1.0,3.0,1.0,0.16666666666666666,1.0,0.06666666666666667,1.0,6.0,1.0,0.16666666666666666,1.0,0.1875,1.0,3.0,3.0,0.3333333333333333,1.0
75%,0.1,1.0,7.5,1.0,0.3333333333333333,1.0,0.07142857142857142,1.0,4.0,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,7.0,1.0,0.16666666666666666,1.0,0.21052631578947367,1.0,4.0,3.0,0.5,1.0
max,0.2857142857142857,1.0,11.0,2.0,0.6666666666666666,1.0,0.08333333333333333,1.0,4.0,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,12.0,1.0,0.16666666666666666,1.0,0.25,1.0,4.0,4.0,0.5,1.0
