,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_www.toyotafinancial.com,380,380,0.003,0.001,4.89,GOP
1,*results_full_domain_frac_www.publicintegrity.org,380,380,0.003,0.001,5.14,GOP
2,**results_full_domain_frac_MapsLocations,380,380,0.015,0.027,1.82,DEM
3,*results_full_domain_frac_www.hondafinancialservices.com,380,380,0.004,0.001,4.28,GOP
4,*results_full_domain_frac_foursquare.com,380,380,0.0,0.001,inf,DEM
5,*results_full_domain_frac_www.yelp.com,380,380,0.001,0.006,4.8,DEM
6,*results_full_domain_frac_www.autotrader.com,380,380,0.0,0.001,inf,DEM
7,*results_full_domain_frac_www.yellowpages.com,380,380,0.001,0.005,6.59,DEM
8,*results_full_domain_frac_www.pure-spirit.com,380,380,0.001,0.0,7.09,GOP
9,*results_full_domain_frac_MapsPlaces,380,380,0.0,0.002,inf,DEM
10,*results_full_domain_frac_www.macys.com,380,380,0.002,0.0,9.0,GOP
11,*results_full_domain_frac_www.scotusblog.com,380,380,0.0,0.001,inf,DEM
12,*results_full_domain_frac_www.dominosaruba.com,380,380,0.002,0.0,inf,GOP
13,*results_full_domain_frac_school-uniforms.procon.org,380,380,0.005,0.0,19.1,GOP
14,*results_full_domain_frac_www.motortrend.com,380,380,0.002,0.0,inf,GOP
15,*results_full_domain_frac_www.facebook.com,380,380,0.034,0.027,1.27,GOP
16,*results_full_domain_frac_play.google.com,380,380,0.017,0.012,1.5,GOP
17,*results_full_domain_frac_www.rainbowshops.com,380,380,0.0,0.002,6.36,DEM
18,*results_full_domain_frac_www.hoursguide.com,380,380,0.0,0.001,inf,DEM
19,*results_full_domain_frac_pizza.dominos.com,380,380,0.001,0.01,11.91,DEM
20,*top_ads_full_domain_frac_californiainnocenceproject.org,170,148,0.006,0.0,inf,GOP
21,*top_ads_full_domain_frac_www.allieded.org,170,148,0.006,0.0,inf,GOP
22,*top_ads_full_domain_frac_info.carafem.org,170,148,0.0,0.01,inf,DEM
23,*top_ads_full_domain_frac_www.kansascity.buyatoyota.com,170,148,0.009,0.0,inf,GOP
