,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com
count,625.0,625.0,625.0,254.0,254.0,81.0,81.0,181.0,181.0,181.0,117.0,117.0,193.0,193.0,193.0,10.0,10.0,344.0,344.0,344.0,243.0,243.0,54.0,54.0,54.0
mean,0.08250486385991092,1.0,4.336,0.2747156605424321,1.0,1.0,1.0,0.06429068112440492,1.0,3.2099447513812156,0.141975308641975,1.0,0.0691501918109659,1.0,5.8264248704663215,0.16666666666666669,1.0,0.15248918741667059,1.0,3.2594476744186047,0.32853223593964326,1.0,0.1002259057814613,1.0,8.731481481481481
std,0.030421561787956398,0.0,2.166706114039327,0.14304192009653255,0.0,0.0,0.0,0.006504788030083616,0.0,0.6750395027433319,0.02772451257483066,0.0,0.009106019602524338,0.0,1.6761737696446928,2.925694557147251e-17,0.0,0.057048665161766064,0.0,1.0961858004952478,0.12530878019376157,0.0,0.03696028796269682,0.0,0.6494770244673566
min,0.05,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.05263157894736842,1.0,2.0,0.1111111111111111,1.0,0.05555555555555555,1.0,3.0,0.16666666666666666,1.0,0.0625,1.0,2.0,0.16666666666666666,1.0,0.05555555555555555,1.0,8.0
25%,0.0625,1.0,3.0,0.16666666666666666,1.0,1.0,1.0,0.058823529411764705,1.0,3.0,0.1111111111111111,1.0,0.0625,1.0,5.0,0.16666666666666666,1.0,0.07692307692307693,1.0,3.0,0.16666666666666666,1.0,0.07692307692307693,1.0,8.0
50%,0.07142857142857142,1.0,4.0,0.3333333333333333,1.0,1.0,1.0,0.0625,1.0,3.0,0.16666666666666666,1.0,0.06666666666666667,1.0,5.0,0.16666666666666666,1.0,0.17647058823529413,1.0,3.0,0.3333333333333333,1.0,0.09090909090909091,1.0,9.0
75%,0.1,1.0,6.0,0.3333333333333333,1.0,1.0,1.0,0.07142857142857142,1.0,4.0,0.16666666666666666,1.0,0.07692307692307693,1.0,7.0,0.16666666666666666,1.0,0.2,1.0,4.0,0.5,1.0,0.09090909090909091,1.0,9.0
max,0.18181818181818182,1.0,10.0,0.6666666666666666,1.0,1.0,1.0,0.09090909090909091,1.0,4.0,0.16666666666666666,1.0,0.125,1.0,11.0,0.16666666666666666,1.0,0.2727272727272727,1.0,10.0,0.5,1.0,0.1875,1.0,11.0
