,results_full_domain_frac_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_top_domain_frac_wikipedia.org,results_top_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_full_coded_ugc_frac_SearchTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_coded_ugc_frac_SearchTweetCarousel_nan,results_top_domain_frac_UserTweetCarousel,results_top_coded_ugc_frac_UserTweetCarousel_nan,results_top_coded_ugc_frac_SearchTweetCarousel_nan,results_full_domain_frac_facebook.com,results_full_coded_ugc_frac_facebook.com_organization-corporate,results_full_coded_ugc_frac_facebook.com_individual-political,results_full_coded_ugc_frac_facebook.com_nan,results_full_coded_ugc_frac_facebook.com_organization-political,results_top_three_domain_frac_facebook.com,results_top_three_coded_ugc_frac_facebook.com_organization-corporate,results_top_three_coded_ugc_frac_facebook.com_nan,results_full_domain_frac_twitter.com,results_full_coded_ugc_frac_twitter.com_nan,results_full_coded_ugc_frac_twitter.com_individual-political,results_top_three_domain_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com_nan,results_top_three_coded_ugc_frac_twitter.com_individual-political,results_top_domain_frac_twitter.com,results_top_coded_ugc_frac_twitter.com_nan,tweets_full_domain_frac_twitter.com,tweets_full_coded_ugc_frac_twitter.com_nan,tweets_full_coded_ugc_frac_twitter.com_organization-corporate,tweets_full_coded_ugc_frac_twitter.com_individual-political,tweets_top_three_domain_frac_twitter.com,tweets_top_three_coded_ugc_frac_twitter.com_nan,tweets_top_three_coded_ugc_frac_twitter.com_organization-corporate,tweets_top_three_coded_ugc_frac_twitter.com_individual-political,tweets_top_domain_frac_twitter.com,tweets_top_coded_ugc_frac_twitter.com_nan,tweets_top_coded_ugc_frac_twitter.com_organization-corporate,tweets_top_coded_ugc_frac_twitter.com_individual-political,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_imdb.com_nan,results_full_coded_ugc_frac_instagram.com_individual-political,results_full_coded_ugc_frac_linkedin.com_nan,results_top_three_coded_ugc_frac_linkedin.com_nan,knowledge_panel_full_domain_frac_KnowledgePanel,knowledge_panel_full_coded_ugc_frac_KnowledgePanel_nan,knowledge_panel_top_three_domain_frac_KnowledgePanel,knowledge_panel_top_three_coded_ugc_frac_KnowledgePanel_nan,knowledge_panel_top_domain_frac_KnowledgePanel,knowledge_panel_top_coded_ugc_frac_KnowledgePanel_nan,results_full_coded_ugc_frac_individual-political,results_top_three_coded_ugc_frac_individual-political,tweets_full_coded_ugc_frac_individual-political,tweets_top_three_coded_ugc_frac_individual-political,tweets_top_coded_ugc_frac_individual-political,results_full_coded_ugc_frac_organization-corporate,results_top_three_coded_ugc_frac_organization-corporate,tweets_full_coded_ugc_frac_organization-corporate,tweets_top_three_coded_ugc_frac_organization-corporate,tweets_top_coded_ugc_frac_organization-corporate,results_full_coded_ugc_frac_organization-political
count,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,130.0,130.0,130.0,130.0,130.0,97.0,97.0,97.0,97.0,97.0,97.0,130.0,130.0,41.0,41.0,41.0,130.0,130.0,41.0,41.0,41.0,130.0
mean,0.09357983896445428,0.09357983896445428,0.15897435897435894,0.15897435897435894,0.2230769230769231,0.2230769230769231,0.0349281701204778,0.0349281701204778,0.003293928293928294,0.08461538461538463,0.08461538461538463,0.010256410256410256,0.05384615384615385,0.05384615384615385,0.007692307692307693,0.041800101607793905,0.00645049395049395,0.0018244575936883628,0.0324262489647105,0.001098901098901099,0.010256410256410256,0.002564102564102564,0.007692307692307693,0.013519151788382557,0.012927435812051196,0.000591715976331361,0.020512820512820513,0.017948717948717947,0.002564102564102564,0.023076923076923078,0.023076923076923078,1.0,0.7386759581881532,0.21951219512195122,0.041811846689895474,1.0,0.7479674796747968,0.21951219512195122,0.03252032520325203,1.0,0.7317073170731707,0.21951219512195122,0.04878048780487805,0.005989565989565989,0.001183431952662722,0.000591715976331361,0.004374514374514375,0.002564102564102564,1.0,1.0,1.0,1.0,1.0,1.0,0.0030078895463510847,0.002564102564102564,0.041811846689895474,0.03252032520325203,0.04878048780487805,0.00645049395049395,0.002564102564102564,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.001098901098901099
std,0.0709409676761793,0.0709409676761793,0.18661213957844258,0.18661213957844258,0.41791999930598744,0.41791999930598744,0.059036360601462085,0.059036360601462085,0.018996583589886477,0.14563140888908158,0.14563140888908158,0.05778664519205259,0.2265870286981135,0.2265870286981135,0.08770580193070292,0.06655198360004033,0.027789640490868753,0.01192549222315353,0.06232371710655499,0.0125294002758147,0.05778664519205257,0.029235267310234334,0.050242900353949925,0.04156203215497597,0.04119834024304498,0.006746600148515617,0.08041501046716582,0.07552900956603788,0.029235267310234327,0.1507287010618499,0.1507287010618499,0.0,0.4390416732398128,0.41905817746174695,0.1896395680075931,0.0,0.4332082371028592,0.41905817746174695,0.16338227240943057,0.0,0.44857497945730546,0.41905817746174695,0.21808478995509087,0.028533564360003663,0.00950408034460345,0.006746600148515617,0.0258049016914464,0.02923526731023431,0.0,0.0,0.0,0.0,0.0,0.0,0.022436798424968516,0.029235267310234327,0.1896395680075931,0.16338227240943057,0.21808478995509087,0.027789640490868753,0.029235267310234334,0.41905817746174695,0.41905817746174695,0.41905817746174695,0.0125294002758147
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.15109890109890112,0.15109890109890112,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,1.0,0.2,0.2,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.08333333333333333,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.07692307692307693,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.07692307692307693,0.07692307692307693,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285
