,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_tfo$,results_full_coded_ugc_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_youtube.com_tfo$,results_full_coded_ugc_frac_yelp.com_nan
count,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
mean,0.025109806859806853,0.285,1.92,0.028118686868686845,0.0030000000000000005,0.015,0.0030000000000000005,0.017358585858585865,0.18,1.02,0.01883333333333334,0.1258333333333334,0.24000000000000035,0.004833333333333332,0.002
std,0.040529913837626025,0.4525472295516508,3.3345458431245945,0.044974224172523995,0.024371496655852528,0.12185748327926264,0.024371496655852528,0.037364624021096034,0.38515153971224514,2.250538740638687,0.04036555924731159,0.15485579827037946,0.2946763832652212,0.022349648615255364,0.0140351317992784
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.07142857142857142,1.0,4.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0
max,0.1111111111111111,1.0,11.0,0.1111111111111111,0.2,1.0,0.2,0.1111111111111111,1.0,8.0,0.1111111111111111,0.3333333333333333,0.6,0.1111111111111111,0.1
