,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_domain_frac_MapsLocations,100,100,0.0,0.06,inf,urban
1,*results_top_domain_frac_MapsPlaces,100,100,0.0,0.05,inf,urban
