,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_coded_ugc_frac_NewsCarousel_nan,results_full_coded_ugc_frac_MapsPlaces_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan
count,195.0,195.0,47.0,195.0,195.0,195.0,195.0,195.0,195.0,30.0,195.0,195.0,195.0,195.0,195.0,195.0,60.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,68.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
mean,0.029733727810650902,0.24102564102564103,5.361702127659575,0.029733727810650902,0.03418803418803418,0.10256410256410256,0.03418803418803418,0.021336996336996338,0.15384615384615385,3.2666666666666666,0.021336996336996338,0.03418803418803418,0.10256410256410256,0.03418803418803418,0.02989689797382107,0.3076923076923077,2.6666666666666665,0.02989689797382107,0.09401709401709403,0.28205128205128205,0.09401709401709403,0.035897435897435895,0.035897435897435895,0.035897435897435895,0.0004662004662004662,0.030839459685613517,0.3487179487179487,4.264705882352941,0.030839459685613517,0.058119658119658135,0.17435897435897435,0.058119658119658135,0.1641025641025641,0.1641025641025641,0.1641025641025641
std,0.054650296286364,0.42880675285950376,2.9958342956069033,0.054650296286364,0.10138987714325172,0.30416963142975517,0.10138987714325172,0.05025633312034851,0.36172991707956426,1.8925139881655553,0.05025633312034851,0.10138987714325172,0.30416963142975517,0.10138987714325172,0.04767396267858287,0.46272646469171164,1.8472762052630556,0.04767396267858287,0.1503854906953193,0.45115647208595894,0.1503854906953193,0.18651328617883017,0.18651328617883017,0.18651328617883017,0.006510135218540299,0.04305855614995748,0.4777911995278755,3.5727728562494634,0.04305855614995748,0.1267981657622126,0.3803944972866366,0.1267981657622126,0.3713219484845744,0.3713219484845744,0.3713219484845744
min,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,3.0,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,7.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
max,0.14285714285714285,1.0,13.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,7.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,11.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,0.125,1.0,11.0,0.125,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
