,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_tfo$,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_top_three_coded_ugc_frac_facebook.com_tfo$,results_full_coded_ugc_frac_twitter.com,results_top_three_coded_ugc_frac_twitter.com,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_youtube.com_tfo$,results_top_three_coded_ugc_frac_youtube.com_tfo$,results_full_coded_ugc_frac_yelp.com_nan,results_top_three_coded_ugc_frac_yelp.com_nan
count,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
mean,0.02941391941391939,0.295,1.8175,0.030687645687645655,0.012,0.06,0.012,0.020777777777777784,0.195,1.035,0.020777777777777784,0.001,0.005,0.001,0.12283333333333331,0.23100000000000034,0.0005555555555555556,0.017325396825396834,0.0016666666666666666,0.0038809523809523816,0.0026666666666666666
std,0.04835971858237756,0.45718716134917103,3.0883870259587898,0.049670800360892796,0.04761655892037017,0.2380827946018509,0.04761655892037017,0.04239129801947467,0.3971949384061657,2.178878739814146,0.04239129801947467,0.01414213562373097,0.07071067811865495,0.01414213562373097,0.1559745394332799,0.2926898301673927,0.007856742013183867,0.039930081384848576,0.0235702260395516,0.020598195025780683,0.027426364538587024
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.07142857142857142,1.0,3.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0
max,0.2222222222222222,1.0,10.0,0.2222222222222222,0.2,1.0,0.2,0.1111111111111111,1.0,8.0,0.1111111111111111,0.2,1.0,0.2,0.3333333333333333,0.6,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333
