,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com
count,60.0,60.0,60.0,11.0,11.0,40.0,40.0,40.0,40.0,40.0,35.0,35.0,35.0
mean,0.10177146927146914,1.0,5.966666666666667,0.16666666666666669,1.0,0.10138888888888889,1.0,2.15,0.16666666666666674,1.0,0.1021067821067821,1.0,5.114285714285714
std,0.02668135626607517,0.0,2.5575853725444078,2.911029329172731e-17,0.0,0.008102429956804732,0.0,0.36162028533978946,8.432749224604462e-17,0.0,0.00825485264597517,0.0,1.022437358110757
min,0.06666666666666667,1.0,3.0,0.16666666666666666,1.0,0.09090909090909091,1.0,2.0,0.16666666666666666,1.0,0.09090909090909091,1.0,4.0
25%,0.07142857142857142,1.0,4.0,0.16666666666666666,1.0,0.09090909090909091,1.0,2.0,0.16666666666666666,1.0,0.09545454545454546,1.0,4.0
50%,0.1111111111111111,1.0,5.0,0.16666666666666666,1.0,0.1,1.0,2.0,0.16666666666666666,1.0,0.1,1.0,5.0
75%,0.125,1.0,8.0,0.16666666666666666,1.0,0.1111111111111111,1.0,2.0,0.16666666666666666,1.0,0.1111111111111111,1.0,6.0
max,0.14285714285714285,1.0,10.0,0.16666666666666666,1.0,0.1111111111111111,1.0,3.0,0.16666666666666666,1.0,0.1111111111111111,1.0,8.0
