,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_three_domain_frac_washingtonpost.com,798,190,0.002,0.0,inf,rural
1,*results_top_three_domain_frac_usa.gov,798,190,0.007,0.002,4.05,rural
2,*results_top_three_domain_frac_bbc.com,798,190,0.002,0.0,inf,rural
3,*results_top_three_domain_frac_landsend.com,798,190,0.002,0.0,inf,rural
4,*results_top_three_domain_frac_MapsLocations,798,190,0.051,0.077,1.53,urban
5,*results_top_three_domain_frac_allmenus.com,798,190,0.002,0.0,inf,rural
6,*results_top_three_domain_frac_yellowpages.com,1064,76,0.003,0.0,inf,GOP
7,**results_top_three_domain_frac_eagles.com,1064,76,0.004,0.0,inf,GOP
8,*results_top_three_domain_frac_bbc.com,1064,76,0.002,0.0,inf,GOP
9,*results_top_three_domain_frac_landsend.com,1064,76,0.002,0.0,inf,GOP
10,**results_top_three_domain_frac_nbclosangeles.com,1064,76,0.006,0.0,inf,GOP
11,*results_top_three_domain_frac_allmenus.com,1064,76,0.002,0.0,inf,GOP
12,*top_ads_top_three_domain_frac_dvnf.org,316,78,0.006,0.0,inf,rural
13,*top_ads_top_three_domain_frac_,426,33,0.01,0.0,inf,GOP
14,*top_ads_top_three_domain_frac_jcpenney.com,426,33,0.008,0.0,inf,GOP
15,*top_ads_top_three_domain_frac_csmonitor.com,426,33,0.003,0.0,inf,GOP
16,*top_ads_top_three_domain_frac_dvnf.org,426,33,0.007,0.0,inf,GOP
