,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_greatschools.org,798,190,0.001,0.0,inf,rural
1,*results_full_domain_frac_hbr.org,798,190,0.001,0.0,inf,rural
2,*results_full_domain_frac_bbc.com,798,190,0.0,0.0,inf,rural
3,*results_full_domain_frac_bleacherreport.com,798,190,0.0,0.0,inf,rural
4,*results_full_domain_frac_wikipedia.org,798,190,0.091,0.082,1.11,rural
5,*results_full_domain_frac_yelp.com,532,608,0.001,0.004,3.84,high-income
6,*results_full_domain_frac_hoursguide.com,532,608,0.0,0.002,inf,high-income
7,*results_full_domain_frac_qz.com,532,608,0.0,0.001,inf,high-income
8,*results_full_domain_frac_allmenus.com,532,608,0.0,0.002,5.07,high-income
9,*results_full_domain_frac_openmenu.com,1064,76,0.0,0.0,inf,GOP
10,**results_full_domain_frac_yellowpages.com,1064,76,0.004,0.0,inf,GOP
11,*results_full_domain_frac_pure-spirit.com,1064,76,0.0,0.0,inf,GOP
12,*results_full_domain_frac_autoblog.com,1064,76,0.001,0.0,inf,GOP
13,*results_full_domain_frac_edmunds.com,1064,76,0.001,0.0,inf,GOP
14,**results_full_domain_frac_hbr.org,1064,76,0.001,0.0,inf,GOP
15,*results_full_domain_frac_tripadvisor.com,1064,76,0.001,0.0,inf,GOP
16,*results_full_domain_frac_bbc.com,1064,76,0.0,0.0,inf,GOP
17,*results_full_domain_frac_local.com,1064,76,0.001,0.0,inf,GOP
18,*results_full_domain_frac_bleacherreport.com,1064,76,0.0,0.0,inf,GOP
19,*results_full_domain_frac_hoursguide.com,1064,76,0.001,0.0,inf,GOP
20,*results_full_domain_frac_qz.com,1064,76,0.0,0.0,inf,GOP
21,*results_full_domain_frac_prevention.com,1064,76,0.0,0.0,inf,GOP
22,**results_full_domain_frac_rainbowshops.com,1064,76,0.001,0.0,inf,GOP
23,**results_full_domain_frac_allmenus.com,1064,76,0.001,0.0,inf,GOP
24,*top_ads_full_domain_frac_dvnf.org,316,78,0.006,0.0,inf,rural
25,*top_ads_full_domain_frac_,426,33,0.008,0.0,inf,GOP
26,*top_ads_full_domain_frac_jcpenney.com,426,33,0.008,0.0,inf,GOP
27,*top_ads_full_domain_frac_themainewire.com,426,33,0.03,0.008,3.92,GOP
28,*top_ads_full_domain_frac_theconversation.com,426,33,0.004,0.0,inf,GOP
29,*top_ads_full_domain_frac_csmonitor.com,426,33,0.004,0.0,inf,GOP
30,*top_ads_full_domain_frac_dvnf.org,426,33,0.007,0.0,inf,GOP
