,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_coded_ugc_frac_facebook.com_nan,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_coded_ugc_frac_twitter.com_nan,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_coded_ugc_frac_twitter.com_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan
count,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,4.0,20.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0,20.0,20.0,4.0,20.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,0.03809523809523809,0.3,5.5,0.03809523809523809,0.03333333333333333,0.1,0.03333333333333333,0.02767857142857143,0.2,4.5,0.02767857142857143,0.057440476190476174,0.4,2.0,0.057440476190476174,0.13333333333333333,0.4,0.13333333333333333,0.02857142857142857,0.2,6.0,0.02857142857142857,0.032808857808857804,0.4,7.25,0.032808857808857804,0.03333333333333333,0.1,0.03333333333333333,0.04538170163170163,0.5,8.7,0.04538170163170163,0.03333333333333333,0.1,0.03333333333333333,0.1,0.1,0.1
std,0.06235138674519447,0.47016234598162715,2.5099800796022267,0.06235138674519447,0.10259783520851541,0.30779350562554625,0.10259783520851541,0.05690593506618839,0.41039134083406165,0.5773502691896257,0.05690593506618839,0.07249812747848307,0.5026246899500346,0.0,0.07249812747848307,0.1675415633166782,0.5026246899500346,0.1675415633166782,0.05862733440486594,0.41039134083406165,0.816496580927726,0.05862733440486594,0.04139541707887165,0.5026246899500346,3.693623849670827,0.04139541707887165,0.10259783520851544,0.30779350562554625,0.10259783520851544,0.047462208773097064,0.512989176042577,4.191260749066642,0.047462208773097064,0.10259783520851541,0.30779350562554625,0.10259783520851541,0.30779350562554625,0.30779350562554625,0.30779350562554625
min,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.5,11.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,7.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.14285714285714285,1.0,2.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,6.25,0.0,0.07692307692307693,1.0,10.0,0.07692307692307693,0.0,0.0,0.0,0.09090909090909091,1.0,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
max,0.16666666666666666,1.0,9.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,5.0,0.14285714285714285,0.16666666666666666,1.0,2.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,1.0,7.0,0.14285714285714285,0.09090909090909091,1.0,11.0,0.09090909090909091,0.3333333333333333,1.0,0.3333333333333333,0.125,1.0,12.0,0.125,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
