,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_www.mapquest.com,180,180,0.0,0.003,inf,high-income
1,*results_full_domain_frac_NewsCarousel,180,180,0.09,0.082,1.1,low-income
2,*results_full_domain_frac_www.jpmorganchase.com,180,180,0.008,0.0,inf,low-income
3,*results_full_domain_frac_pizza.dominos.com,180,180,0.001,0.023,33.37,high-income
4,*results_full_domain_frac_www.allmenus.com,180,180,0.001,0.006,11.18,high-income
5,**results_full_domain_frac_en.wikipedia.org,180,180,0.099,0.076,1.31,low-income
6,*results_full_domain_frac_www.autoblog.com,180,180,0.004,0.0,inf,low-income
7,*results_full_domain_frac_www.groupon.com,180,180,0.011,0.005,2.16,low-income
8,*results_full_domain_frac_www.hoursguide.com,180,180,0.0,0.008,inf,high-income
9,*results_full_domain_frac_play.google.com,180,180,0.032,0.017,1.93,low-income
10,**results_full_domain_frac_www.yelp.com,180,180,0.002,0.024,11.5,high-income
11,*results_full_domain_frac_www.pagechevrolet.com,180,180,0.0,0.002,inf,high-income
12,**results_full_domain_frac_www.facebook.com,180,180,0.074,0.052,1.42,low-income
13,*results_full_domain_frac_businessfinder.nj.com,180,180,0.0,0.002,inf,high-income
14,*results_full_domain_frac_www.edmunds.com,180,180,0.001,0.004,6.27,high-income
15,*results_full_domain_frac_media.gm.com,180,180,0.006,0.0,inf,low-income
16,*results_full_domain_frac_www.yellowpages.com,180,180,0.003,0.012,4.29,high-income
17,*results_full_domain_frac_www.tn.gov,180,180,0.005,0.0,inf,low-income
18,*results_full_domain_frac_www.instagram.com,180,180,0.009,0.004,2.18,low-income
19,*top_ads_full_domain_frac_www.fairfaxhonda.com,94,87,0.0,0.012,inf,high-income
20,*top_ads_full_domain_frac_dealers.autosite.com,94,87,0.027,0.003,9.26,low-income
21,*top_ads_full_domain_frac_www.pohankachevrolet.com,94,87,0.0,0.019,inf,high-income
22,*top_ads_full_domain_frac_www.dancummins.com,94,87,0.013,0.0,inf,low-income
23,*top_ads_full_domain_frac_www.truecar.com,94,87,0.043,0.014,2.96,low-income
24,*top_ads_full_domain_frac_explore.setbuyatoyota.com,94,87,0.016,0.0,inf,low-income
25,*top_ads_full_domain_frac_www.hondaoftysonscorner.com,94,87,0.0,0.016,inf,high-income
26,*top_ads_full_domain_frac_www.sportchevrolet.com,94,87,0.0,0.023,inf,high-income
27,*top_ads_full_domain_frac_www.centralatlantic.buyatoyota.com,94,87,0.0,0.021,inf,high-income
