,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_top_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_full_coded_ugc_frac_facebook.com_nan,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_full_coded_ugc_frac_youtube.com_nan,results_full_coded_ugc_frac_yelp.com_nan,results_top_three_coded_ugc_frac_yelp.com_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan
count,785.0,785.0,287.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,119.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,65.0,785.0,785.0,785.0,785.0,785.0,223.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,259.0,785.0,785.0,785.0,785.0
mean,0.037192552670259504,0.36560509554140125,5.2160278745644595,0.037192552670259504,0.029299363057324824,0.08789808917197452,0.029299363057324824,0.011464968152866241,0.011464968152866241,0.011464968152866241,0.020837124658780688,0.15159235668789808,2.3781512605042017,0.020837124658780688,0.04798301486199574,0.14394904458598726,0.04798301486199574,0.010168334849863523,0.010515758127223088,0.08280254777070063,7.061538461538461,0.010515758127223088,0.0017340939315461604,0.0008492569002123141,0.026145457514884205,0.2840764331210191,4.79372197309417,0.026145457514884205,0.04925690021231422,0.14777070063694267,0.04925690021231422,0.09044585987261146,0.09044585987261146,0.09044585987261146,0.031188249118185334,0.32993630573248406,5.93050193050193,0.031188249118185334,0.029723991507430977,0.08917197452229299,0.029723991507430977
std,0.05163288246641041,0.48190647324309116,2.5261612103661886,0.05163288246641041,0.09444238414987932,0.2833271524496393,0.09444238414987932,0.10652689182511095,0.10652689182511095,0.10652689182511095,0.04942967750419932,0.3588539537828569,0.5821001812352924,0.04942967750419932,0.1170872871737719,0.3512618615213089,0.1170872871737719,0.036090776149450554,0.03709496324071402,0.2757592357763393,1.5995792716067085,0.03709496324071402,0.014315039974464556,0.016814415089145184,0.04234123383335946,0.45126092532143647,3.8802521574294304,0.04234123383335946,0.11836626369797705,0.35509879109392406,0.11836626369797705,0.2870023286834086,0.2870023286834086,0.2870023286834086,0.04688005366601931,0.4704894553234104,3.015945372727318,0.04688005366601931,0.09505783669033993,0.2851735100710202,0.09505783669033993
min,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
75%,0.08333333333333333,1.0,6.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.07692307692307693,1.0,8.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,8.0,0.07692307692307693,0.0,0.0,0.0
max,0.16666666666666666,1.0,13.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,1.0,4.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.18181818181818182,1.0,9.0,0.18181818181818182,0.14285714285714285,0.3333333333333333,0.125,1.0,12.0,0.125,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,1.0,12.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333
