,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_coded_ugc_frac_wikipedia.org_nan,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_coded_ugc_frac_wikipedia.org_nan,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_coded_ugc_frac_UserTweetCarousel_nan,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_coded_ugc_frac_UserTweetCarousel_nan,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_coded_ugc_frac_NewsCarousel_nan,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_coded_ugc_frac_NewsCarousel_nan,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_coded_ugc_frac_NewsCarousel_nan,results_full_coded_ugc_frac_MapsPlaces_nan,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_coded_ugc_frac_MapsLocations_nan,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_coded_ugc_frac_MapsLocations_nan,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_coded_ugc_frac_MapsLocations_nan
count,197.0,197.0,59.0,197.0,197.0,197.0,197.0,197.0,197.0,40.0,197.0,197.0,197.0,197.0,197.0,197.0,39.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,98.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
mean,0.03688105464755214,0.29949238578680204,5.593220338983051,0.03688105464755214,0.03384094754653129,0.10152284263959391,0.03384094754653129,0.030275562001450346,0.20304568527918782,2.0,0.030275562001450346,0.06768189509306263,0.20304568527918782,0.06768189509306263,0.01520053550510404,0.19796954314720813,2.076923076923077,0.01520053550510404,0.06598984771573607,0.19796954314720813,0.06598984771573607,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.00046146746654360867,0.04436595553346825,0.49746192893401014,4.816326530612245,0.04436595553346825,0.0744500846023689,0.2233502538071066,0.0744500846023689,0.20304568527918782,0.20304568527918782,0.20304568527918782
std,0.059719601179233646,0.4592026654451522,2.8534228935147987,0.059719601179233646,0.10092975697527713,0.30278927092583147,0.10092975697527713,0.06038243241504525,0.40329113267976163,0.0,0.06038243241504525,0.1344303775599204,0.40329113267976163,0.1344303775599204,0.03067572535715614,0.3994842837274059,0.3542683627908283,0.03067572535715614,0.1331614279091353,0.3994842837274059,0.1331614279091353,0.07124704998790986,0.07124704998790986,0.07124704998790986,0.006477004544355441,0.0463191749725453,0.5012674291563289,3.8538959770026113,0.0463191749725453,0.139184107898254,0.41755232369476225,0.139184107898254,0.40329113267976163,0.40329113267976163,0.40329113267976163
min,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.07692307692307693,1.0,9.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,8.75,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
max,0.16666666666666666,1.0,10.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,1.0,2.0,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.07692307692307693,1.0,3.0,0.07692307692307693,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,0.14285714285714285,1.0,11.0,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
