,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org
count,51.0,51.0,51.0,20.0,20.0
mean,0.10418576521517703,1.0,5.294117647058823,0.3333333333333332,1.0
std,0.03314351987282761,0.0,2.647973698110001,1.1390647892519134e-16,0.0
min,0.0625,1.0,3.0,0.3333333333333333,1.0
25%,0.0625,1.0,3.0,0.3333333333333333,1.0
50%,0.1,1.0,4.0,0.3333333333333333,1.0
75%,0.14285714285714285,1.0,8.5,0.3333333333333333,1.0
max,0.14285714285714285,1.0,10.0,0.3333333333333333,1.0
